HARVEST CITY CHURCH INC. (107663890RR0001)
"Assets","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"4100: Cash, bank accounts, and short-term investments ($)",1237366,1212604,1788070,1877163,1845209,761626,795925,1070548,711097,959049,1170092,1209797,660820,419067,261513,222365,174741,268940,155293,117489,104745,390847
"4101: Enter the total amounts in cash and bank accounts included on line 4100 ($)",1237366,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4102: Enter the value of all short-term investments included on line 4100 with an original term to maturity not greater than one year ($)",0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4110: Amounts receivable from non-arm’s length persons ($)",0,71706,113565,51588,52048,14768,15282,18347,37276,138876,79780,34030,0,0,0,0,0,0,0,0,0,0
"4120: Amounts receivable from all others ($)",106952,0,0,0,0,0,0,0,0,0,0,0,23895,39957,25343,52306,49786,75355,50293,103111,73182,52535
"4130: Investments in non-arm’s length persons ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4140: Long-term investments ($)",0,0,0,0,0,500000,420000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4150: Inventories ($)",0,0,0,0,0,0,0,0,0,115,115,191,599,1117,1283,1576,1716,2239,2517,3315,3913,5488
"4155: Land and buildings in Canada ($)",5963505,5866469,5410297,5133281,4893538,4834743,4776240,4596173,4325099,3509503,2671126,1955641,1794457,1727624,1720009,1712550,0,0,0,0,0,0
"4157: Enter the cost or fair market value of all land and buildings in Canada used for the charity’s charitable programs or administration that were included in line 4155 ($)",5963505,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4158: Enter the cost or fair market value of all land and buildings in Canada not used for the charity’s charitable programs or administration that were included in line 4155 ($)",0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4160: Other capital assets in Canada ($)",1365669,1352850,1347393,1228177,1192949,1132404,1024539,1023920,995273,967059,906806,892955,854521,699489,636876,629890,1502032,1438834,1417383,1323986,1249844,1257350
"4165: Capital assets outside Canada ($)",0,0,0,0,0,0,0,0,0,0,0,0,23000,27930,12930,0,0,0,0,0,0,0
"4166: Accumulated amortization of capital assets ($)",-2722839,-2521469,-2301814,-2100672,-1984678,-1813659,-1644027,-1470223,-1293106,-1120837,-1041906,-963985,-875291,-777591,-720810,-664458,0,0,0,0,0,0
"4170: Other assets ($)",58108,27431,80839,11609,15253,8150,5726,4432,525,1293,989,5784,4961,0,0,0,3986,4587,7756,8532,1181,803
"4190: Enter the value of all impact investments including those reported in any other line ($)",0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4200: Total assets ($)",6008761,6009591,6438350,6201146,6014319,5438032,5393685,5243197,4776164,4455058,3787002,3134413,2486962,2137593,1937144,1954229,1732261,1789955,1633242,1556433,1432866,1707023
