HARVEST CITY CHURCH INC. (107663890RR0001)
"Expenses","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"4800: Advertising and promotion ($)",13740,12333,12074,2824,2152,5468,8460,4448,5332,10633,4743,10094,20363,12093,8329,5657,5574,3629,2040,2217,1752,1801
"4810: Travel and vehicle expenses ($)",60543,84006,72937,1675,8040,7325,5870,6166,8976,8074,8625,6088,12047,5751,7136,4521,7213,6296,6396,5402,7744,8274
"4820: Interest and bank charges ($)",31447,28458,30164,15264,22499,26206,27393,25749,15737,11280,11476,11528,8107,4584,5843,5243,3980,5739,4088,2526,1799,173
"4830: Licences, memberships, and dues ($)",12228,8468,8961,8200,10519,5155,5096,5079,4976,4912,5699,4456,3677,3600,3120,3110,3610,3882,4153,7860,5465,4800
"4840: Office supplies and expenses ($)",18700,32434,22664,8248,11910,13928,18021,17782,16795,13963,17238,14690,10166,12205,32823,41228,86006,81103,51656,75463,84607,83641
"4850: Occupancy costs ($)",325682,377517,301149,174474,241860,254640,269318,266758,284316,222911,295524,242203,240833,229645,215710,210108,174610,174834,119112,112449,146995,125769
"4860: Professional and consulting fees ($)",11718,14198,11381,14360,10726,10937,12566,11633,8782,7615,10258,9630,5445,5890,5540,4954,8851,5606,4497,5712,5876,379
"4870: Education and training for staff and volunteers ($)",17420,9266,4883,2495,4213,9958,9081,10758,8171,7934,7581,3502,7322,3726,1419,1954,10204,3772,7221,11440,5530,1335
"4880: Total expenditure on all compensation (enter the amount reported at line 390 in Schedule 3, if applicable) ($)",4187104,4238473,3853869,2309280,3539355,3458294,3341632,3379497,3182043,3146418,2718689,1159243,1136684,964079,772692,897424,916496,846920,747170,694505,363597,274041
"4890: Fair market value of all donated goods used in charitable activities ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601474,469226,0,0,0,0
"4891: Purchased supplies and assets ($)",520562,691682,740268,400618,530913,895389,822812,829020,741108,571978,666545,481719,769672,599170,799306,551912,0,0,0,0,0,0
"4900: Amortization of capitalized assets ($)",201370,219654,201143,115994,171019,169634,173802,177117,172271,78929,77922,88694,97700,56780,56353,57423,56595,61765,59278,0,44812,0
"4910: Research grants and scholarships as part of charitable activities ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54196,0,0
"4920: All other expenditures not included in the amounts above (excluding gifts to qualified donees) ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575686,606033,867015,778199
"4930: Specify type(s) of expenditures included in the amount reported at 4920","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","leadership meetings, retreats, conferenc","conference camp and retreat costs","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4950: Total expenditures before gifts to qualified donees ($)",5400514,5716489,5259493,3053432,4553206,4856934,4694051,4734007,4448507,4084647,3824300,2031847,2312016,1897523,1908271,1783534,1874613,1662772,1581297,1577803,1535192,1278412
"5045: Total grants made to non-qualified donees (grantees) — question only asked from 2022 onward ($)",0,0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"5100: Total expenditures ($)",5599537,5885069,5405394,3156516,4652785,4981280,4841622,4848551,4595485,4241469,4003712,2149055,2438042,2076285,2015721,1836277,1911622,1761925,1596656,1598680,1544922,1290392
