HARVEST CITY CHURCH INC. (107663890RR0001)
"Reporting Period","Donor Name","City","Prov","Reported Amount ($)","Gifts In Kind ($)"
2024,"MARANATHA MINISTRIES OF CANADA INC","REGINA","SK",35000,0
2024,"CANADAHELPS CANADON","TORONTO","ON",12192,0
2024,"UNITED WAY OF REGINA","REGINA","SK",488,0
2023,"CHURCH OF THE ROCK INC.","WINNIPEG","MB",50000,0
2023,"MARANATHA MINISTRIES OF CANADA INC","REGINA","SK",35000,0
2023,"THE ROCK CHURCH INC","SASKATOON","SK",17600,0
2023,"LIFELINKS INTERNATIONAL FELLOWSHIP INC","CALGARY","AB",17133,0
2023,"CANADAHELPS CANADON","TORONTO","ON",12202,0
2023,"STRATEGIC CHARITABLE GIVING FOUNDATION","TORONTO","ON",5000,0
2023,"CROSSROADS CHURCH INC.","HERBERT","SK",4000,0
2023,"PRAIRIE HARVEST CHRISTIAN LIFE CENTRE INC.","YORKTON","SK",1200,0
2023,"FAITH HARVEST FELLOWSHIP (CHRISTIAN CHURCH)","ROCKGLEN","SK",800,0
2023,"UNITED WAY OF REGINA","REGINA","SK",310,0
2023,"REGINA PRO-LIFE ASSOCIATION CORPORATION","REGINA","SK",200,0
2023,"UNITED WAY OF REGINA","REGINA","SK",120,0
2022,"CHURCH OF THE ROCK INC.","WINNIPEG","MB",75000,0
2022,"MARANATHA MINISTRIES OF CANADA INC","REGINA","SK",35000,0
2022,"CANADAHELPS CANADON","TORONTO","ON",12480,0
2022,"THE ROCK CHURCH INC","SASKATOON","SK",11745,0
2022,"STRATEGIC CHARITABLE GIVING FOUNDATION","TORONTO","ON",5000,0
2022,"ACCESS COMMUNICATIONS CHILDREN'S FUND INC.","REGINA","SK",5000,0
2022,"CROSSROADS CHURCH INC.","HERBERT","SK",4000,0
2022,"THE HARVEST CHURCH OF MEDICINE HAT","MEDICINE HAT","AB",1440,0
2022,"FAITH HARVEST FELLOWSHIP (CHRISTIAN CHURCH)","ROCKGLEN","SK",1200,0
2022,"HOSANNA MINISTRIES INC.","REGINA","SK",1000,0
2022,"REGINA PRO-LIFE ASSOCIATION CORPORATION","REGINA","SK",200,0
2021,"MARANATHA MINISTRIES OF CANADA INC","REGINA","SK",35000,0
2021,"CANADAHELPS CANADON","TORONTO","ON",11328,0
2021,"FREEDOM WORSHIP CENTRE INC.","ARBORG","MB",10000,0
2021,"THE RIVER CHRISTIAN CENTER INC","MELVILLE","SK",5000,0
2021,"STRATEGIC CHARITABLE GIVING FOUNDATION","TORONTO","ON",5000,0
2021,"CROSSROADS CHURCH INC.","HERBERT","SK",4000,0
2021,"PRAIRIE HARVEST CHRISTIAN LIFE CENTRE INC.","YORKTON","SK",3600,0
2021,"HOSANNA MINISTRIES INC.","REGINA","SK",3000,0
2021,"CHURCH OF THE ROCK CALGARY","CALGARY","AB",2125,0
2021,"FAITH HARVEST FELLOWSHIP (CHRISTIAN CHURCH)","ROCKGLEN","SK",1200,0
2020,"MARANATHA MINISTRIES OF CANADA INC","REGINA","SK",35000,0
2020,"CANADAHELPS CANADON","TORONTO","ON",12197,0
2020,"THE RIVER CHRISTIAN CENTER INC","MELVILLE","SK",5000,0
2020,"CROSSROADS CHURCH INC.","HERBERT","SK",4000,0
2020,"FAITH HARVEST FELLOWSHIP (CHRISTIAN CHURCH)","ROCKGLEN","SK",1200,0
2020,"HOSANNA MINISTRIES INC.","REGINA","SK",1000,0
2020,"SOLID ROCK COMMUNITY CHURCH INC.","SWAN RIVER","MB",450,0
2020,"REGINA PRO-LIFE ASSOCIATION CORPORATION","REGINA","SK",200,0
2020,"Canadian Online Giving Foundation/Fondation canadienne de dons en ligne","CALGARY","AB",100,0
2020,"PRAIRIE HARVEST CHRISTIAN LIFE CENTRE INC.","YORKTON","SK",0,3600
2019,"CANADAHELPS CANADON","TORONTO","ON",22199,0
2019,"MARANATHA MINISTRIES OF CANADA INC","REGINA","SK",21795,0
2019,"CHURCH OF THE ROCK INC.","WINNIPEG","MB",16000,0
2019,"LIFELINKS INTERNATIONAL FELLOWSHIP INC","CALGARY","AB",13205,0
2019,"MULTIPLY Network","ABBOTSFORD","BC",11000,0
2019,"PRAIRIE HARVEST CHRISTIAN LIFE CENTRE INC.","YORKTON","SK",4561,0
2019,"CROSSROADS CHURCH INC.","HERBERT","SK",4000,0
2019,"HOSANNA MINISTRIES INC.","REGINA","SK",2900,0
2019,"LIVING HOPE COMMUNITY CHURCH INC.","ESTEVAN","SK",2600,0
2019,"THE ROCK CHURCH INC","SASKATOON","SK",2500,0
2019,"THE HARVEST CHURCH OF MEDICINE HAT","MEDICINE HAT","AB",1800,0
2019,"SOLID ROCK COMMUNITY CHURCH INC.","SWAN RIVER","MB",1350,0
2019,"FAITH HARVEST FELLOWSHIP (CHRISTIAN CHURCH)","ROCKGLEN","SK",1200,0
2019,"Life Outreach Church Saskatoon Inc.","SASKATOON","SK",400,0
2019,"REGINA PRO-LIFE ASSOCIATION CORPORATION","REGINA","SK",300,0
2019,"Canadian Online Giving Foundation/Fondation canadienne de dons en ligne","CALGARY","AB",144,0
2018,"CHURCH OF THE ROCK INC.","WINNIPEG","MB",31526,0
2018,"MARANATHA MINISTRIES OF CANADA INC","REGINA","SK",21278,0
2018,"CANADAHELPS CANADON","TORONTO","ON",15438,0
2018,"LIFELINKS INTERNATIONAL FELLOWSHIP INC","CALGARY","AB",13722,0
2018,"CROSSROADS CHURCH INC.","HERBERT","SK",8000,0
2018,"MULTIPLY Network","ABBOTSFORD","BC",5000,0
2018,"HOSANNA MINISTRIES INC.","REGINA","SK",4200,0
2018,"PRAIRIE HARVEST CHRISTIAN LIFE CENTRE INC.","YORKTON","SK",3600,0
2018,"Life Outreach Church Saskatoon Inc.","DALMENY","SK",2400,0
2018,"LIVING HOPE COMMUNITY CHURCH INC.","ESTEVAN","SK",2400,0
2018,"Taber Life Church","TABER","AB",2400,0
2018,"THE HARVEST CHURCH OF MEDICINE HAT","MEDICINE HAT","AB",1800,0
2018,"SOLID ROCK COMMUNITY CHURCH INC.","SWAN RIVER","MB",1800,0
2018,"FAITH HARVEST FELLOWSHIP (CHRISTIAN CHURCH)","ROCKGLEN","SK",1200,0
