HARVEST CITY CHURCH INC. (107663890RR0001)
"Reporting Period","Donee Name","City","Prov","Reported Amount ($)","Gifts In Kind ($)"
2024,"GOSPEL FIRE FOR ALL NATIONS","TISDALE","SK",60000,0
2024,"BIBLE FELLOWSHIP MISSIONARY SOCIETY OF CANADA","SURREY","BC",30000,0
2024,"CITY KIDS- REGINA MINISTRY INCORPORATED","REGINA","SK",21525,0
2024,"GLOBAL PARTNERLINK SOCIETY","CALGARY","AB",20000,0
2024,"LIFELINKS INTERNATIONAL FELLOWSHIP INC","CALGARY","AB",20000,0
2024,"MORNING STAR MINISTRY INC","REGINA","SK",17750,0
2024,"LOVE LIVES HERE MISSIONS INC.","CRAVEN","SK",11250,0
2024,"WORLD FOCUS INC","WINNIPEG","MB",10000,0
2024,"SASKATCHEWAN TECHNOLOGY RENEWAL INC.","REGINA","SK",3090,0
2024,"MARANATHA MINISTRIES OF CANADA INC","REGINA","SK",2088,0
2024,"SOULS HARBOUR RESCUE MISSION","REGINA","SK",1000,0
2024,"DISCIPLE A CITY","CAVAN","ON",650,0
2024,"CANADAHELPS.CA","TORONTO","ON",550,0
2024,"RCCG PECULIAR PEOPLE'S PARISH","REGINA","SK",500,0
2024,"IMPACTUS MINISTRIES","BURLINGTON","ON",300,0
2024,"HILLCREST APOSTOLIC CHURCH","MOOSE JAW","SK",300,0
2024,"THE MEETING HOUSE CHURCH FAMILY","OAKVILLE","ON",20,0
2023,"International Friendship Regina","Regina","SK",25000,0
2023,"CityKidz Ministry","Hamilton","ON",22286,0
2023,"Onebook","Calgary","AB",20000,0
2023,"LifeLinks International Fellowship Inc.","Calgary","AB",17000,0
2023,"Love Lives Here Inc.","Regina","SK",13556,0
2023,"Revive Church","St John's","NL",13333,0
2023,"Morningstar Ministry Inc.","Regina","SK",11000,0
2023,"Break Free Outreach Ministries Inc.","Regina","SK",10804,0
2023,"Bible Fellowship Missions","Surrey","BC",10000,0
2023,"World Focus Inc.","Winnipeg","MB",10000,0
2023,"Maranatha Ministries of Canada","Regina","SK",4431,0
2023,"SK Tech Renewal Inc- Computers for Schools","Regina","SK",3120,0
2023,"Choose Life Ministry","Carnduff","SK",3000,0
2023,"The River Christian Center Inc","Melville","SK",1300,0
2023,"Souls Harbour Rescue Mission","Regina","SK",1000,0
2023,"Sonlight Christian Reformed Church","Regina","SK",1000,0
2023,"The Circle Project Assoc. Inc.","Regina","SK",1000,0
2023,"Promise Keepers Canada","Burlington","ON",300,0
2023,"Hillcrest Apostolic Church","Moose Jaw","SK",300,0
2023,"Canadahelps.ca","Toronto","ON",100,0
2023,"Sask Pro LIfe Association Education Trust Fund","Regina","SK",50,0
2022,"International Friendship Regina","Regina","SK",33000,0
2022,"One Book","Calgary","AB",20000,0
2022,"Revive Church","St John's","NL",19999,0
2022,"World Focus Inc.","Regina","SK",12000,0
2022,"Love Lives Here Inc","Regina","SK",11200,0
2022,"City Kidz Ministry","Hamilton","ON",10214,0
2022,"Bible Fellowship Missions","Surrey","BC",10000,0
2022,"LifeLinks International Fellowship Inc.","Calgary","AB",10000,0
2022,"MorningStar Ministries Inc","Regina","SK",7200,0
2022,"Maranatha Ministries of Canada Inc","Regina","SK",5327,0
2022,"Saskatchewan Technical Renewal Inc.","Regina","SK",2060,0
2022,"Options Pregnancy Center","Regina","SK",2000,0
2022,"Souls Harbour Rescue Mission","Regina","SK",1000,0
2022,"Sonlight Christian Reformed Church","Regina","SK",1000,0
2022,"Regina Super Cars Charity Inc","Regina","SK",600,0
2022,"Promise Keepers Canada","Burlington","ON",300,0
2021,"AMAN HOUSE MINISTRIES","REGINA","SK",25000,0
2021,"ONEBOOK","CALGARY","AB",20000,0
2021,"REVIVE CHURCH","ST JOHN'S","NL",13333,0
2021,"CITY KIDS MINISTRY","HAMILTON","ON",10907,0
2021,"BIBLE FELLOWSHIP MISSIONS","SURREY","BC",10000,0
2021,"WORLD FOCUS INC","WINNIPEG","MB",5500,0
2021,"MARANATHA MINISTRIES OF CANADA INC","REGINA","SK",5181,0
2021,"LOVE LIVES HERE INC","REGINA","SK",4902,0
2021,"MORNINGSTAR MINISTRIES INC","REGINA","SK",4800,0
2021,"SASK TECHNOLOGIC RENEWAL INC","REGINA","SK",2260,0
2021,"SOULS HARBOUR RESCUE MISSION","REGINA","SK",1000,0
2021,"PROMISE KEEPERS CANADA","BURLINGTON","ON",200,0
2020,"Revive Church","St Johns","",24000,0
2020,"World Focus Inc","Winnipeg","MB",18000,0
2020,"City Kidz Ministry","Hamilton","ON",15056,0
2020,"MorningStar Ministries Inc","REGINA","SK",12200,0
2020,"LifeLinks International Fellowship Inc","Calgary","AB",10000,0
2020,"Maranatha Ministries of Canada Inc","REGINA","SK",9147,0
2020,"Love Lives Here Inc","REGINA","SK",4455,0
2020,"OneBook","Calgary","AB",2000,0
2020,"Bible Fellowship Missions`","Surrey","BC",2000,0
2020,"Sonlight Christian Reformed Church","REGINA","SK",1000,0
2020,"SK Tech Renewal Inc","REGINA","SK",940,0
2020,"Mercy Touch International","Surrey","BC",480,0
2020,"Promise Keepers Canada","Burlington","ON",300,0
2019,"Revive Church Inc","St John's","NL",20772,0
2019,"Onebook","Calgary","AB",20000,0
2019,"Maranatha Ministries of Canada Inc","REGINA","SK",17738,0
2019,"CityKidz Ministry","Hamilton","ON",16360,0
2019,"Bible Fellowship Missions","Surrey","BC",11554,0
2019,"MorningStar Ministries Inc.","REGINA","SK",9200,0
2019,"Options Pregnancy Center","REGINA","SK",8000,0
2019,"Love Lives Here Inc","REGINA","SK",7582,0
2019,"World Focus Inc","Winnipeg","MB",5500,0
2019,"Computers For Schools- SK Tech Renewal Inc","REGINA","SK",2520,0
2019,"Horizon Church","Surrey","BC",1000,0
2019,"Sonlight Christian Reformed Church","REGINA","SK",1000,0
2019,"Aman House Ministries","REGINA","SK",1000,0
2019,"Souls Harbour Rescue Mission","REGINA","SK",555,0
2019,"Celebration Lutheran Church","REGINA","SK",550,0
2019,"Mercy Tough International","Surrey","BC",480,0
2019,"Promise Keepers Canada","Burlington","",300,0
2019,"CCCC Legal Defence Fund","Elmira","",105,0
2019,"Hope's Home Inc","REGINA","SK",85,0
2019,"Samaritan's Purse","Calgary","AB",45,0
2018,"MorningStar Ministries Inc","Regina","SK",30582,0
2018,"ONE BOOK","CALGARY","AB",22000,0
2018,"MARANATHA MINISTRIES OF CANADA","REGINA","SK",21030,0
2018,"REVIVE CHURCH","ST. JOHN'S","NL",13505,0
2018,"CITYKIDZ MINISTRY","HAMILTON","ON",13455,0
2018,"LOVE LIVES HERE INC","REGINA","SK",11703,0
2018,"WORLD FOCUS INC","WINNIPEG","MB",10500,0
2018,"OPTIONS PREGNANCY CENTRE","REGINA","SK",8000,0
2018,"INTERNATIONAL FRIENDSHIP REGINA","REGINA","SK",7473,0
2018,"CHURCH OF THE ROCK","WINNIPEG","MB",2500,0
2018,"BIBLE FELLOWSHIP MISSIONS","SURREY","BC",1513,0
2018,"CELEBRATION CHURCH","REGINA","SK",1200,0
2018,"SONLIGHT CHRISTIAN REFORMED CHURCH","REGINA","SK",1000,0
2018,"COMPUTERS FOR SCHOOLS-SK TECH RENEWAL INC","REGINA","SK",800,0
2018,"CCCC LEGAL DEFENSE FUND","ELMIRA","ON",600,0
2018,"SOULS HARBOUR RESCUE MISSION","REGINA","SK",500,0
2018,"MERCY TOUCH INTERNATIONAL","SURREY","BC",480,0
2018,"PROMISE KEEPERS CANADA","BURLINGTON","ON",300,0
2018,"REGINA YOUTH FOR CHRIST","REGINA","SK",280,0
2018,"GLOBAL OUTREACH MISSION","ST CATHERINE'S","ON",100,0
2018,"THE SALVATION ARMY","REGINA","SK",50,0
2017,"CITY KIDZ MINISTRY","HAMILTON","ON",20083,0
2017,"ONEBOOK","CALGARY","AB",20000,0
2017,"MARANATHA MINISTRY OF CANADA INC","Regina","SK",19802,0
2017,"MORNINGSTAR MINISTRIES INC","Regina","SK",12000,0
2017,"OPTIONS PREGNANCY CENTER","REGINA","SK",8000,0
2017,"INTERNATIONAL FRIENDSHIP REGINA","REGINA","SK",7500,0
2017,"Love Lives Here Inc","Regina","SK",6577,0
2017,"WORLD FOCUS INC","WINNIPEG","MB",5500,0
2017,"WELLSPRING VICTORY CHURCH","REGINA","SK",5000,0
2017,"THE ROCK CHURCH","SASKATOON","SK",5000,0
2017,"COMPUTERS FOR SCHOOLS- SK TECH RENEWAL INC","REGINA","SK",1530,0
2017,"AMAN HOUSE MINISTRIES","REGINA","SK",1000,0
2017,"SONLIGHT CHRISTIAN REFORMED CHURCH","REGINA","SK",1000,0
2017,"MERCY TOUCH INTERNATIONAL","SURREY","BC",480,0
2017,"PROMISE KEEPERS CANADA","UPPER BRANT BURLINGTON","ON",300,0
2017,"REGINA YOUTH FOR CHRIST","REGINA","SK",250,0
2017,"SOULS HARBOUR RESCUE MISSION","REGINA","SK",250,0
2017,"TEEN CHALLENGE","WINNIPEG","MB",200,0
2017,"FRIENDS OF THE ROYAL SASK MUSEUM","REGINA","SK",72,0
2016,"ONEBOOK","Calgary","AB",44590,0
2016,"Maranatha Ministries of Canada","Regina","SK",32392,0
2016,"International Friendship Regina","Regina","SK",12000,0
2016,"OPTIONS PREGNANCY CENTER","Regina","SK",8000,0
2016,"CITY KIDZ MINISTRY","HAMILTON","ON",7745,0
2016,"MORNINGSTAR MINISTRIES INC","REGINA","SK",7200,0
2016,"Love Lives Here Inc","Regina","SK",7086,0
2016,"PELICAN RISING MINISTRIES","PELICAN NARROWS","SK",6048,0
2016,"WORLD FOCUS INC","WINNIPEG","MB",5500,0
2016,"BURN 24-7 CALGARY","CALGARY","AB",3087,0
2016,"LIFELINKS INTERNATIONAL FELLOWSHIP INC","REGINA","SK",3000,0
2016,"CHURCH OF THE ROCK","WINNIPEG","MB",2500,0
2016,"RED CROSS","OTTAWA","ON",2030,0
2016,"CELEBRATION LUTHERAN CHURCH","Regina","SK",2000,0
2016,"AMAN HOUSE MINISTRIES","REGINA","SK",1000,0
2016,"Sonlight Christian Reformed Church","Regina","SK",1000,0
2016,"Mercy Touch International","Surrey","BC",480,0
2016,"NO TIME FOR THAT ANTI-BULLYING SOCIETY","WINNIPEG","MB",400,0
2016,"Promise Keepers Canada","Burlington","ON",300,0
2016,"Soul Harbour Rescue Mission","Regina","SK",250,0
2016,"CHILD EVANGELISM FELLOWSHIP OF SASKATCHEWAN","REGINA","SK",200,0
2016,"COMPUTERS FOR SCHOOLS-SK TECH RENEWAL INC","REGINA","SK",120,0
2016,"FRIENDS OF THE ROYAL SASK MUSEUM","REGINA","SK",50,0
2015,"OneBook","Calgary","AB",40332,0
2015,"Maranatha Ministries of Canada","Regina","SK",27710,0
2015,"International Friendship Regina","Regina","SK",18630,0
2015,"Morningstar Ministries Inc","Regina","SK",15000,0
2015,"Options Pregnancy Center","Regina","SK",11998,0
2015,"City Kidz Ministry","Hamilton","ON",11741,0
2015,"Love Lives Here Inc","Regina","SK",9159,0
2015,"World Focus Inc","Winnipeg","MB",5500,0
2015,"Lifelinks International Fellowship Inc","Regina","SK",3000,0
2015,"Church of the Rock Inc","Winnipeg","MB",2500,0
2015,"Plan International Canada","Toronto","ON",2406,0
2015,"Teen Challenge","Saskatoon","SK",2000,0
2015,"Sask Technical Renewal Inc","Regina","SK",1800,0
2015,"Regina Youth For Christ","Regina","SK",1450,0
2015,"Samaritan's Purse","Calgary","AB",1000,0
2015,"Sonlight Christian Reformed Church","Regina","SK",1000,0
2015,"Mercy Touch International","Surrey","BC",480,0
2015,"Lesea Global Feed The Hungry","St Catherines","ON",351,0
2015,"Promise Keepers Canada","Burlington","ON",300,0
2015,"Soul Harbour Rescue Mission","Regina","SK",250,0
2015,"Canadian Council of Christian Charities","Elmira","ON",215,0
