HARVEST CITY CHURCH INC. (107663890RR0001)
"Revenue","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"4500: Total eligible amount of all gifts for which the charity issued tax receipts ($)",2605614,2633540,2589016,0,2216369,2122108,2141852,2206617,2006608,1868726,1844158,1943838,1880042,1628974,1506845,1515561,1344304,1271765,1231403,1139687,1020708,941567
"5610: Total eligible amount of tax-receipted tuition fees ($)",475166,467537,432082,0,138546,109534,87653,45890,103971,159256,195090,68487,69186,37179,0,58291,53255,80991,0,0,0,0
"4505: Total amount of 10 year gifts received ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4510: Total amount received from other registered charities ($)",153957,185307,72084,31860,61676,124235,113473,126296,116883,179735,154747,91780,108527,111034,110295,77519,60902,27306,19777,1080,50,475
"4530: Total other gifts received for which a tax receipt was not issued by the charity (excluding amounts at lines 4575 and 4630) ($)",4530,15465,8705,1325312,6057,20313,20367,24376,20188,23446,22212,23998,21158,30647,29783,15834,12636,81953,8244,0,0,0
"4540: Total revenue received from federal government ($)",56159,43940,58510,14044,60651,41221,1779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4550: Total revenue received from provincial / territorial governments ($)",2679123,2449078,2529128,1528338,2340872,2302162,2241689,2446375,2428717,2402847,2328427,332590,98670,0,0,0,0,0,0,0,0,0
"4560: Total revenue received from municipal / regional governments ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4571: Total tax-receipted revenue from all sources outside of Canada (government and non-government) ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4575: Total non tax-receipted revenue from all sources outside Canada (government and non-government) ($)",1568,3223,3327,2681,3897,3078,2752,7229,3078,5134,3309,3218,5467,6502,12223,1385,0,0,0,0,0,0
"4576: Enter the amount from line 4580 that represents the total interest and other income the charity received or earned from impact investments ($)",0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4577: Enter the total amount from Line 4580 that represents the total amount of interest and investment income received from persons who do not deal at arm’s length with the charity ($)",0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4580: Total interest and investment income received or earned ($)",3539,5246,1723,576,12680,7084,4189,3332,3140,6055,10430,6533,1739,2865,1932,547,3622,2234,138,3214,2086,4510
"4590: Gross proceeds from disposition of assets ($)",0,0,0,600,0,0,0,850,2740,0,0,0,0,0,0,0,0,0,0,0,0,2436
"4600: Net proceeds from disposition of assets ($)",0,0,0,600,0,0,0,850,2740,0,0,0,0,0,0,0,0,0,0,0,0,1054
"4610: Gross income received from rental of land and/or buildings ($)",0,0,0,200,360,0,750,2020,2675,2650,1767,3341,3499,4827,4465,0,625,743,979,1817,1574,2305
"4620: Total non tax-receipted revenues received for memberships, dues and association fees ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64626,63504,45176,15875
"4630: Total non tax-receipted revenue from fundraising ($)",2718,4373,2087,708,16065,19107,32182,40328,22804,28095,37106,47846,22326,31222,27641,19237,22467,24069,19190,17494,15831,3955
"4640: Total revenue from sale of goods and services (except to any level of government in Canada) ($)",0,0,0,0,0,0,0,0,0,0,13,72,33,715,0,0,326,12860,21218,18210,7193,29248
"4650: Other revenue not already included in the amounts above ($)",154164,197228,415481,309257,322820,438742,321115,397953,298299,373389,400910,305685,510398,414337,346337,351904,460323,441833,403994,426837,417161,343051
"4655: Specify type(s) of revenue included in the amount reported at 4650","program fees","tuition, prgram fees, etc","tuition, program fees, etc","tuition and program fees","tuition and program fees","tuition, program funds / fees collected","tuition and program funds","school tuition and preschool tuition","school tuition and preschool tuition","conference and retreat fees","tuition-preschool, kg- 12 school","tuition, other school and preschool related,","preschool and school income, program fees",0,"unreceipted tuition fees, event tickets etc","programs, events, schools fund","n/a","n/a","n/a","n/a","n/a","n/a"
"4700: Total revenue ($)",5661372,5537400,5680061,3213576,5041447,5078050,4880148,5255376,4905132,4890077,4803079,2758901,2651859,2231123,2039521,1981987,1905205,1862763,1769569,1671843,1509779,1342040
