LUTHER COLLEGE, REGINA (107650061RR0001)
"Assets","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"4100: Cash, bank accounts, and short-term investments ($)",5606409,4606069,5332374,6315704,5679202,5775481,2926099,3405122,5335189,4911824,7571967,5712543,3062555,2421264,3096030,2836498,4448053,3464694,2273460,2074123,1018625,1079591
"4101: Enter the total amounts in cash and bank accounts included on line 4100 ($)",5606409,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4102: Enter the value of all short-term investments included on line 4100 with an original term to maturity not greater than one year ($)",0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4110: Amounts receivable from non-arm’s length persons ($)",0,0,0,0,0,0,0,0,434979,591385,526747,0,0,0,549969,0,0,0,401053,0,0,202474
"4120: Amounts receivable from all others ($)",447598,146837,195251,237145,173115,258463,1040428,410417,0,0,0,599699,591694,367410,0,223250,446780,243654,0,202634,213779,0
"4130: Investments in non-arm’s length persons ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4140: Long-term investments ($)",17432805,15842751,12781356,12465092,12518046,12034780,11126851,11460408,9128527,9784806,8400496,7617941,8477922,8858256,8072317,6506656,4055330,3345879,2927013,2105937,1870221,1152504
"4150: Inventories ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4155: Land and buildings in Canada ($)",38539975,38035271,38322175,41391404,40139489,35471873,35860232,34506016,31497964,28255466,26169273,18453145,11825575,11929770,11180945,3370631,0,0,0,0,0,0
"4157: Enter the cost or fair market value of all land and buildings in Canada used for the charity’s charitable programs or administration that were included in line 4155 ($)",0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4158: Enter the cost or fair market value of all land and buildings in Canada not used for the charity’s charitable programs or administration that were included in line 4155 ($)",0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4160: Other capital assets in Canada ($)",2275255,2267822,2627192,0,0,4170340,2900123,2357735,2722986,2420671,2445512,0,0,0,0,0,3532751,3530992,3741284,4003958,4232711,4310652
"4165: Capital assets outside Canada ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4166: Accumulated amortization of capital assets ($)",-14049151,-13080449,-13172505,-12970833,-11877371,-10799552,-9729412,-8805091,-8363498,-7619732,-7303212,-7211695,-6747721,-7489555,-7210629,0,0,0,0,0,0,0
"4170: Other assets ($)",344405,327292,374008,450642,-1375516,-690215,-46770,-639246,-1519769,-633073,538319,840549,66618,62146,50394,51128,55281,48302,50769,66409,262466,396533
"4190: Enter the value of all impact investments including those reported in any other line ($)",0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4200: Total assets ($)",50597296,48145593,46459851,47889154,45256965,46221170,44077551,42695361,39236378,37711347,38349102,26012182,17276643,16149291,15739026,12988163,12538195,10633521,9393578,8453061,7597802,7141754
