LUTHER COLLEGE, REGINA (107650061RR0001)
"Disbursement Quota","2024","2023"
"Step 1. Calculating the disbursement quota requirement for the current fiscal period"
"805: Average value of property not used in charitable activities or administration (line 5900) ($)",16708000,"n/a"
"810: If permission to accumulate property has been granted, enter the total amount accumulated (line 5500) minus the total amount spent (line 5510) ($)",0,"n/a"
"815: Enter the total of line 805 minus line 810, if negative, enter 0 ($)",16708000,"n/a"
"If line 815 is $1,000,000 or less"
"820: Enter the amount reported on line 815 multiplied by 3.5% ($)",0,"n/a"
"If line 815 is over $1,000,000"
"825: Enter the amount reported on line 815 minus $1,000,000 ($)",15708000,"n/a"
"830: Enter the amount reported on line 825 multiplied by 5% ($)",785400,"n/a"
"835: Enter the amount reported on line 830 plus $35,000 ($)",820400,"n/a"
"Current disbursement quota"
"840: Enter the amount reported on line 820 or line 835, this is your charity’s disbursement quota for the current fiscal period ($)",820400,"n/a"
"Expenditures that count towards disbursement quota"
"845: Enter the amount reported on line 5000 (total expenditures on charitable activities) in Section D or Schedule 6 ($)",18682426,"n/a"
"850: Enter the amount reported on line 5045 (total amount of grants made to all non-qualified donees) in Section D or Schedule 6 ($)",0,"n/a"
"855: Enter the amount reported on line 5050 (total amount of gifts made to all qualified donees) in section D or Schedule 6 ($)",0,"n/a"
"Total Expenditures this year that count towards disbursement quota"
"860: Enter the total of lines 845, 850, and 855 ($)",18682426,"n/a"
"If a shortfall exists (line 865 is negative), your charity can draw on disbursement excesses from the five previous fiscal periods to help it meet its shortfall. If no excesses are available to draw on, your charity can try to spend enough the following year to create an excess that it can carry back to cover the shortfall."
"865: Enter the amount reported on line 860 minus the amount reported on line 840, this is your charity’s disbursement quota excess or shortfall for the current fiscal period ($)",17862026,"n/a"
"Step 2. Estimating the disbursement quota requirement for the next fiscal period"
"870: Enter the amount reported on line 5910 (average value of property not used directly in charitable activities or administration during the 24 months before the end of the fiscal period) in Schedule 6 ($)",16230000,"n/a"
"If line 870 is $1,000,000 or less"
"875: Enter the amount reported on line 870 multiplied by 3.5% ($)",0,"n/a"
"If line 870 is over $1,000,000"
"880: Enter the amount reported on line 870 minus $1,000,000 ($)",15230000,"n/a"
"885: Enter the amount reported on line 880 multiplied by 5% ($)",761500,"n/a"
"890: Enter the amount reported on line 885 plus $35,000 ($)",796500,"n/a"
"The amount shown at line 875 or line 890 is your charity’s estimated disbursement quota requirement for the next fiscal period."
