LUTHER COLLEGE, REGINA (107650061RR0001)
"Expenses","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"4800: Advertising and promotion ($)",153227,178460,55572,34509,56019,68885,73789,66976,175658,179331,306079,257317,233075,178855,103020,137528,203038,247385,247188,239094,364486,293461
"4810: Travel and vehicle expenses ($)",29376,39192,43991,32062,42423,52575,41108,54220,42031,46178,47184,45434,30322,37078,46257,42884,27776,44763,42065,70523,82247,82707
"4820: Interest and bank charges ($)",505285,632046,582869,597921,676741,712520,688580,637232,640403,565287,87380,83683,77494,88659,88713,82688,92477,90628,89558,88300,85789,41934
"4830: Licences, memberships, and dues ($)",55224,52822,57417,53656,52448,53101,53927,43333,58412,48800,44962,26989,36118,40585,39401,44875,56101,24943,40542,31807,27771,31650
"4840: Office supplies and expenses ($)",66335,74774,59078,45810,78116,114241,96278,98784,89459,103648,108016,97651,93276,97745,91964,100748,117664,134241,160719,176663,196062,179199
"4850: Occupancy costs ($)",1908825,1871367,1729748,1726525,1768560,1681863,1642266,1672620,1621713,1687512,1852145,1651807,1692011,1482703,1893436,1511975,1429241,1338134,1091759,1052870,977405,703107
"4860: Professional and consulting fees ($)",42950,35275,52125,62486,67565,50421,55065,68369,26013,21643,22138,38138,60694,22343,49264,20160,19528,17994,32152,11656,50688,17961
"4870: Education and training for staff and volunteers ($)",110010,138232,107356,70652,114273,126326,96694,47375,39024,29805,48150,49432,29185,30288,21083,29471,28065,16905,25157,23625,23677,23799
"4880: Total expenditure on all compensation (enter the amount reported at line 390 in Schedule 3, if applicable) ($)",12297010,12069338,11478423,10543120,11148198,11371654,11135932,11083077,10512830,10350033,10211988,9524784,8588565,8250164,7763280,7506454,7256303,6913129,6907714,6557796,6299088,5499569
"4890: Fair market value of all donated goods used in charitable activities ($)",15494,2692,1946,1232,1573,4095,481,1344,7309,18806,2064,2459,1716,824,2967,886,571348,690962,288312,256949,297954,465304
"4891: Purchased supplies and assets ($)",281637,220175,214176,278600,141204,205285,262133,279285,258610,330918,562238,304374,742289,641038,327823,660274,0,0,0,0,0,0
"4900: Amortization of capitalized assets ($)",1293308,1363284,1383781,1351057,1319214,1276519,1246618,1003036,1020945,981497,505212,463974,435674,442350,435846,390830,417684,371779,371531,378758,381198,343568
"4910: Research grants and scholarships as part of charitable activities ($)",648884,722703,571605,628236,612256,571688,402344,255686,201665,269179,199974,222330,194757,203952,205579,166328,179534,131119,133159,105974,285152,254518
"4920: All other expenditures not included in the amounts above (excluding gifts to qualified donees) ($)",3769092,3056013,3096545,3021929,3199931,3403741,2706554,2491904,2318485,2320055,1801556,1648142,1713290,1239679,1276078,1521317,1321900,1278297,1824967,1676468,1112065,1018592
"4930: Specify type(s) of expenditures included in the amount reported at 4920","student services, it","n/a","student services, it","n/a","n/a","n/a","cafeteria and residence operating costs","cafeteria and residence operating costs","cafeteria and residence oeprating purcha","cafeteria food purchases, res activities","cafeteria food purchases, res activities","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4950: Total expenditures before gifts to qualified donees ($)",21176657,20456373,19434632,18447795,19278521,19692914,18501769,17803241,17012557,16952692,15799086,14416514,13928466,12756263,12344711,12216418,11720659,11309219,11254823,10670483,10183582,8955369
"5045: Total grants made to non-qualified donees (grantees) — question only asked from 2022 onward ($)",0,0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"5100: Total expenditures ($)",21176657,20456373,19434632,18447795,19278521,19692914,18501769,17803241,17012557,16952692,15799068,14416514,13928466,12756263,12344711,12216418,11720659,11309219,11254823,10670483,10183582,8955369
