LUTHER COLLEGE, REGINA (107650061RR0001)
"Revenue","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"4500: Total eligible amount of all gifts for which the charity issued tax receipts ($)",1418716,1690005,2122979,2116266,1685417,1038270,945406,1315686,2591475,1513311,1990031,1082578,1538911,1184745,1080903,1142316,1265272,1189348,941815,1079710,855093,677179
"5610: Total eligible amount of tax-receipted tuition fees ($)",768942,655355,1355601,696009,851447,758828,722804,635814,624874,576025,621068,351890,209359,581770,640332,774309,697981,520620,474315,513331,0,548159
"4505: Total amount of 10 year gifts received ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4510: Total amount received from other registered charities ($)",445649,1714846,352190,325512,87565,123064,98326,267898,292690,84495,132454,41450,1177,1428,1610,44344,52331,32659,17840,37736,94773,37648
"4530: Total other gifts received for which a tax receipt was not issued by the charity (excluding amounts at lines 4575 and 4630) ($)",3455,1062,12290,22713,31172,33563,14882,7890,14286,51531,76921,173479,676674,126272,216263,0,0,0,0,0,0,1500
"4540: Total revenue received from federal government ($)",289076,222604,176559,217867,260277,181636,223956,218357,71471,55393,95415,135163,100542,406440,313910,55940,84182,34989,37384,32719,15670,0
"4550: Total revenue received from provincial / territorial governments ($)",7456470,7509540,7380378,7347006,6563468,7072801,6691534,7148210,7493622,7375840,6766317,7011155,6227349,5218983,5558663,5530557,5127700,4751041,4214157,3900138,3602855,3349626
"4560: Total revenue received from municipal / regional governments ($)",0,0,0,0,9200,9201,6933,4946,5610,11553,4780,5536,0,0,0,0,0,0,0,0,0,0
"4571: Total tax-receipted revenue from all sources outside of Canada (government and non-government) ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4575: Total non tax-receipted revenue from all sources outside Canada (government and non-government) ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4576: Enter the amount from line 4580 that represents the total interest and other income the charity received or earned from impact investments ($)",0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4577: Enter the total amount from Line 4580 that represents the total amount of interest and investment income received from persons who do not deal at arm’s length with the charity ($)",0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4580: Total interest and investment income received or earned ($)",660411,691041,466849,1210710,401515,524820,580357,1301947,648451,702888,352914,400360,407616,444487,365127,12318,421439,386230,303263,186109,83856,48348
"4590: Gross proceeds from disposition of assets ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4600: Net proceeds from disposition of assets ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4610: Gross income received from rental of land and/or buildings ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188627,112661,83082,103202
"4620: Total non tax-receipted revenues received for memberships, dues and association fees ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4630: Total non tax-receipted revenue from fundraising ($)",27500,19751,7340,12615,0,0,0,0,0,0,0,0,2653098,0,0,13441,10985,4095,24458,36577,59646,242666
"4640: Total revenue from sale of goods and services (except to any level of government in Canada) ($)",2789789,2687377,2474587,1811969,2036666,2696058,2764588,2557433,3281472,3732130,3048173,2779148,0,2699685,2609190,2166202,2236726,2171694,2140313,1931431,2479445,2406020
"4650: Other revenue not already included in the amounts above ($)",9508684,8408575,6209352,9198070,8055248,8788454,8971062,7338734,4230002,4121831,5790973,5535601,4127217,3678730,4107682,4056518,3897659,3970345,4196324,3692062,3586295,2442305
"4655: Specify type(s) of revenue included in the amount reported at 4650","tuition, class fees, busing","tuition, class fees, busing","tuition, class fees, busing","tuition, unrealized gains","n/a","tuition, other program fees. unrealized gains / losses","tuition fees, gains / losses","tuition fees, unrealized gains / losses","tuition fees, , unrealized gains / losses","tuition fees, unrealized gains (looses)","tuition fees, unrealized gains (losses)","unrealized gains on investments & loan derivitives","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4700: Total revenue ($)",22599750,22944801,19202524,22262728,19130528,20467867,20297044,20161101,18629079,17648972,18257978,17164470,15732584,13760770,14253348,13021636,13096294,12540401,12064181,11009143,10860715,9308494
