LUTHER COLLEGE, REGINA (107650061RR0001)
"Top 10 Highest Paid Employees¹","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"305: $1 – $39,999 (#)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"310: $40,000 – $79,999 (#)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3
"315: $80,000 – $119,999 (#)",0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,7,4,4,4,2,2,2
"320: $120,000 – $159,999 (#)",3,3,4,5,5,5,4,2,4,5,7,8,7,9,6,3,"n/a","n/a","n/a","n/a","n/a","n/a"
"3730: $120,000 and over² (#)","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",1,1,1,1,1,0
"325: $160,000 – $199,999 (#)",5,5,5,4,4,4,5,7,5,5,3,1,1,1,0,0,"n/a","n/a","n/a","n/a","n/a","n/a"
"330: $200,000 – $249,999 (#)",2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,"n/a","n/a","n/a","n/a","n/a","n/a"
"335: $250,000 – $299,999 (#)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"n/a","n/a","n/a","n/a","n/a","n/a"
"340: $300,000 – $349,999 (#)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"n/a","n/a","n/a","n/a","n/a","n/a"
"345: $350,000 and over (#)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"n/a","n/a","n/a","n/a","n/a","n/a"
