MONTESSORI SCHOOL OF REGINA INC. (119044758RR0001)
"Assets","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"4100: Cash, bank accounts, and short-term investments ($)",389750,1090354,1203795,1246238,705951,578870,424101,342677,169148,202560,294925,249104,270087,149213,101468,109516,125700,77494,56101,81878,68460,39125
"4101: Enter the total amounts in cash and bank accounts included on line 4100 ($)",389750,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4102: Enter the value of all short-term investments included on line 4100 with an original term to maturity not greater than one year ($)",0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4110: Amounts receivable from non-arm’s length persons ($)",119860,0,75287,0,0,0,9207,0,0,0,0,0,0,0,0,0,0,0,0,0,413,1815
"4120: Amounts receivable from all others ($)",0,122594,0,3113,2641,4636,0,29484,10661,9629,7931,6197,2202,1827,1640,1971,1531,1122,1402,2004,0,0
"4130: Investments in non-arm’s length persons ($)",551935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4140: Long-term investments ($)",0,0,0,10000,0,110000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4150: Inventories ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4155: Land and buildings in Canada ($)",3806698,2186837,1844860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4157: Enter the cost or fair market value of all land and buildings in Canada used for the charity’s charitable programs or administration that were included in line 4155 ($)",3806991,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4158: Enter the cost or fair market value of all land and buildings in Canada not used for the charity’s charitable programs or administration that were included in line 4155 ($)",0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4160: Other capital assets in Canada ($)",199376,177901,168252,18256,126059,120126,118119,91920,89118,133335,72867,50681,40000,40000,40000,40000,0,0,0,0,0,0
"4165: Capital assets outside Canada ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4166: Accumulated amortization of capital assets ($)",-207644,-155552,-128794,0,-115559,-103410,-77190,-59076,-70283,-66871,-43900,-34274,-24679,-16675,-8671,-667,0,0,0,0,0,0
"4170: Other assets ($)",5352,14644,2574,2372,947,800,8456,10136,6182,6119,15652,5619,13294,17087,21518,29899,549,549,580,595,1355,1222
"4190: Enter the value of all impact investments including those reported in any other line ($)",0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4200: Total assets ($)",4865327,3436778,3165974,1279979,720039,711022,482693,415141,204826,284772,347475,277327,300904,191452,155955,780719,127780,79165,58083,84477,70228,42162
