MONTESSORI SCHOOL OF REGINA INC. (119044758RR0001)
"Expenses","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"4800: Advertising and promotion ($)",11251,1330,6750,0,8819,8236,7042,3472,9906,6518,16746,4051,1328,1682,4449,1870,2425,1871,2983,3409,3336,3211
"4810: Travel and vehicle expenses ($)",2600,2300,1200,1200,0,0,0,1133,1789,1600,1952,1804,2297,0,1249,1037,0,0,0,0,0,0
"4820: Interest and bank charges ($)",166186,102090,10699,105,163,2055,2679,2710,1947,1735,136,1262,-96,221,261,259,33,268,0,0,0,0
"4830: Licences, memberships, and dues ($)",1588,2163,2230,2743,2606,1071,568,1816,1270,1090,1242,822,978,1002,1054,473,1013,588,554,601,2912,1914
"4840: Office supplies and expenses ($)",26359,26359,18192,22042,7264,5983,9311,9495,10035,7434,11392,11580,8611,6896,6159,6055,4244,5166,2551,3260,10443,15623
"4850: Occupancy costs ($)",211501,211501,185098,148869,117296,99959,96788,91455,176132,128021,68795,51479,51587,49438,44032,41223,12129,12250,12390,14284,10000,10000
"4860: Professional and consulting fees ($)",39116,41254,41857,39257,32747,34163,42525,53096,43482,48841,52523,32400,4641,10357,344,331,5000,0,400,5625,0,0
"4870: Education and training for staff and volunteers ($)",37416,40302,37930,15775,16189,21367,11996,13804,12493,20627,11642,14680,11254,10621,3114,3602,9266,3848,3696,6668,1789,12838
"4880: Total expenditure on all compensation (enter the amount reported at line 390 in Schedule 3, if applicable) ($)",1644459,1189431,1044603,890129,894990,654108,710616,672070,713524,706855,620381,539205,530320,481108,468881,335449,269661,254126,257719,237179,213150,200522
"4890: Fair market value of all donated goods used in charitable activities ($)",0,0,0,0,0,0,0,0,0,0,936,0,0,0,0,0,16188,12917,7860,12229,6155,21764
"4891: Purchased supplies and assets ($)",122751,102571,41679,34477,1278,23002,18228,34986,16717,25156,32291,15825,17258,21537,15112,12581,0,0,0,0,0,0
"4900: Amortization of capitalized assets ($)",52092,46758,8760,4476,12150,26218,18115,8793,3411,8468,9625,9595,8004,8004,8004,667,0,0,0,0,0,0
"4910: Research grants and scholarships as part of charitable activities ($)",0,0,30979,27244,0,0,0,0,0,0,7100,7200,0,0,0,0,0,0,0,0,0,0
"4920: All other expenditures not included in the amounts above (excluding gifts to qualified donees) ($)",9735,130987,9306,4147,27284,0,2207,6422,1038,4855,7264,4056,4371,6930,9222,5829,8121,6443,3690,4851,2418,1149
"4930: Specify type(s) of expenditures included in the amount reported at 4920","n/a","n/a","meeting, recruitment, miscellaneous","fund raising expenses","n/a","n/a","n/a","n/a","n/a","n/a","n/a","bad debt & amort of goodwill","allowance for bad debt, goodwill amortiz","insurance, goodwill amortization","insurance, family events, goodwill amort","insurance, bad debts, staffing costs s....","n/a","n/a","n/a","n/a","n/a","n/a"
"4950: Total expenditures before gifts to qualified donees ($)",2325054,1897046,1439283,1190464,1120786,891248,920075,899252,991744,961200,842025,693959,640553,597796,561881,409376,328080,297477,291843,288106,250203,267021
"5045: Total grants made to non-qualified donees (grantees) — question only asked from 2022 onward ($)",0,0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"5100: Total expenditures ($)",2325054,1897046,1439283,1190464,1120786,891248,920075,0,991744,961200,842025,693959,640553,597796,561981,409376,328080,297477,291843,288106,250203,267021
