MONTESSORI SCHOOL OF REGINA INC. (119044758RR0001)
"Revenue","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"4500: Total eligible amount of all gifts for which the charity issued tax receipts ($)",0,0,8620,1500,2150,600,3650,0,0,0,0,0,0,4570,1536,515,95,405,1700,0,0,0
"5610: Total eligible amount of tax-receipted tuition fees ($)",0,453183,960967,824123,0,0,0,0,0,0,0,0,0,0,0,0,368590,321093,255643,299876,279924,241044
"4505: Total amount of 10 year gifts received ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4510: Total amount received from other registered charities ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4530: Total other gifts received for which a tax receipt was not issued by the charity (excluding amounts at lines 4575 and 4630) ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,102,126,0,0,0,0,0,0,0
"4540: Total revenue received from federal government ($)",0,0,106,55038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4550: Total revenue received from provincial / territorial governments ($)",1798539,1212932,638682,689046,448987,222273,148457,159357,164460,158780,150180,75794,0,0,0,0,0,0,0,0,0,0
"4560: Total revenue received from municipal / regional governments ($)",0,0,0,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4571: Total tax-receipted revenue from all sources outside of Canada (government and non-government) ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4575: Total non tax-receipted revenue from all sources outside Canada (government and non-government) ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4576: Enter the amount from line 4580 that represents the total interest and other income the charity received or earned from impact investments ($)",0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4577: Enter the total amount from Line 4580 that represents the total amount of interest and investment income received from persons who do not deal at arm’s length with the charity ($)",0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4580: Total interest and investment income received or earned ($)",20356,14629,4575,1261,3549,3001,1622,423,782,2914,3178,1623,893,994,274,2120,2906,1120,1355,0,531,174
"4590: Gross proceeds from disposition of assets ($)",0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4600: Net proceeds from disposition of assets ($)",0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4610: Gross income received from rental of land and/or buildings ($)",16402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4620: Total non tax-receipted revenues received for memberships, dues and association fees ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4630: Total non tax-receipted revenue from fundraising ($)",8369,9620,13123,6359,15077,8405,3961,6240,7800,8346,16574,4723,11482,9557,4929,605,0,0,0,0,0,0
"4640: Total revenue from sale of goods and services (except to any level of government in Canada) ($)",747728,932303,960467,862787,738946,986758,825611,881440,726553,757716,707670,664578,692837,622888,547949,391078,368590,321093,254393,0,0,0
"4650: Other revenue not already included in the amounts above ($)",7191,5244,4070,1546,5532,10771,0,0,0,0,0,0,0,0,51,5000,425,2279,1162,0,9656,1331
"4655: Specify type(s) of revenue included in the amount reported at 4650","n/a","elementary school tuition and child care fees","n/a","miscellaneous fees","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","sale of used equipment","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4700: Total revenue ($)",2598585,2194728,1629643,1620037,1214241,1231808,983301,1047460,899595,927756,877602,746718,705212,638111,554865,339325,372016,325897,258610,0,10187,1505
