MOTHER TERESA MIDDLE SCHOOL INC. (821193604RR0001)
"Assets","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011"
"4100: Cash, bank accounts, and short-term investments ($)",503019,152563,95583,206771,321157,261107,31861,136625,17005,182648,117573,108779,-74454,58045
"4101: Enter the total amounts in cash and bank accounts included on line 4100 ($)",0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4102: Enter the value of all short-term investments included on line 4100 with an original term to maturity not greater than one year ($)",0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4110: Amounts receivable from non-arm’s length persons ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4120: Amounts receivable from all others ($)",9713,37232,61405,6602,43725,23803,236128,8783,207899,40235,13711,55437,15983,559143
"4130: Investments in non-arm’s length persons ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4140: Long-term investments ($)",4873322,387810,362771,395355,368248,372397,315993,315275,255648,180011,117230,48908,0,0
"4150: Inventories ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4155: Land and buildings in Canada ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4157: Enter the cost or fair market value of all land and buildings in Canada used for the charity’s charitable programs or administration that were included in line 4155 ($)",0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4158: Enter the cost or fair market value of all land and buildings in Canada not used for the charity’s charitable programs or administration that were included in line 4155 ($)",0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4160: Other capital assets in Canada ($)",849678,903219,874842,971427,927908,1007369,991484,970578,845422,804001,765658,730666,600808,332063
"4165: Capital assets outside Canada ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4166: Accumulated amortization of capital assets ($)",-814884,-861886,-828141,-927405,-900951,-977707,-953661,-905559,-760694,-611839,-458068,-299522,-150073,-35020
"4170: Other assets ($)",257032,18392,34739,18229,93659,84292,73447,3225,31095,44885,66303,83975,0,0
"4190: Enter the value of all impact investments including those reported in any other line ($)",0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4200: Total assets ($)",5677880,637330,601199,670979,853746,771261,695252,528927,596375,639941,622407,728243,392264,914231
