MOTHER TERESA MIDDLE SCHOOL INC. (821193604RR0001)
"Expenses","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011"
"4800: Advertising and promotion ($)",43720,37688,31181,40045,105684,61497,70439,65493,62360,74024,61444,44355,22798,6493
"4810: Travel and vehicle expenses ($)",189752,124066,110213,80202,69218,79141,67610,64737,29109,23675,28925,16701,22077,8542
"4820: Interest and bank charges ($)",1608,1098,1214,1103,745,1331,2601,2703,4145,38576,5131,8203,1826,0
"4830: Licences, memberships, and dues ($)",7951,15605,10007,3532,12458,10485,9015,12281,3765,1693,2863,84,76,197
"4840: Office supplies and expenses ($)",29804,33501,31959,32609,30013,29479,27109,24690,25026,22688,21369,22993,16262,2309
"4850: Occupancy costs ($)",20858,20713,17845,14473,13401,12175,12555,10459,11031,10325,8855,6481,1073,6783
"4860: Professional and consulting fees ($)",28829,27249,23826,25312,19527,22411,17171,21753,5048,25369,73688,82544,83910,14044
"4870: Education and training for staff and volunteers ($)",77815,49484,42444,18225,42044,36612,44843,33268,41288,27244,23041,20214,0,0
"4880: Total expenditure on all compensation (enter the amount reported at line 390 in Schedule 3, if applicable) ($)",1828397,1718771,1630264,1530740,1520767,1411414,1275436,1211325,1082369,969642,843002,572708,390824,24195
"4890: Fair market value of all donated goods used in charitable activities ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4891: Purchased supplies and assets ($)",45656,47429,46599,38910,58673,57007,58997,66797,0,0,0,0,0,0
"4900: Amortization of capitalized assets ($)",31466,33746,30470,26455,22141,24046,48102,74223,162983,167899,172674,177705,116522,10881
"4910: Research grants and scholarships as part of charitable activities ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4920: All other expenditures not included in the amounts above (excluding gifts to qualified donees) ($)",272414,302731,296497,208574,210209,176275,152177,112886,233364,143751,144292,183204,103846,20915
"4930: Specify type(s) of expenditures included in the amount reported at 4920","student exps /  nutrition /  programing","school nutrition, programming, admin fee","school nutrition, programming, admin fee","school nutrition, programming, admin fee","school nutrition, programming, admin fee","nutrition, school programming, admn fee","nutrition, school programming, admin fee","nutrition, school programming, admin fee","academic and technology","academic and technology","academic & technology;bad debt","academic exp's & technology consumable","academic expenses & technology consum","academic expenses & technology consum"
"4950: Total expenditures before gifts to qualified donees ($)",2578270,2412081,2272519,2020180,2104880,1921871,1786055,1700615,1660488,1504886,1385284,1135192,759214,94359
"5045: Total grants made to non-qualified donees (grantees) — question only asked from 2022 onward ($)",0,0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"5100: Total expenditures ($)",2581320,2415098,2272519,2020180,2104880,1921871,1786055,1700615,1660488,1504886,1385284,1135192,759214,94359
