MOTHER TERESA MIDDLE SCHOOL INC. (821193604RR0001)
"Reporting Period","Donor Name","City","Prov","Reported Amount ($)","Gifts In Kind ($)"
2024,"UNITED WAY OF REGINA","REGINA","SK",25434,0
2024,"FUTURE GENERATIONS FOUNDATION / LA FONDATION DES GENERATIONSÀ VENIR","AKWESASNE","ON",11554,0
2024,"United Way of Saskatoon and Area","SASKATOON","SK",5000,0
2024,"THE JESUIT SEMINARY ASSOCIATION (SUBSIDIARY OF THE JESUIT FATHERS UPPER CANADA)","TORONTO","ON",2000,0
2024,"CANADAHELPS CANADON","TORONTO","ON",1718,0
2023,"MADONNA FOUNDATION","REGINA","SK",1340000,0
2023,"ONE LIFE MAKES A DIFFERENCE","REGINA","SK",114000,0
2023,"FUTURE GENERATIONS FOUNDATION / LA FONDATION DES GENERATIONSÀ VENIR","AKWESASNE","ON",83989,0
2023,"UNITED WAY OF REGINA","REGINA","SK",23212,0
2023,"MUSIC EDUCATION CHARITY OF CANADA","TORONTO","ON",12500,12500
2023,"THE SOUTH SASKATCHEWAN COMMUNITY FOUNDATION INC.","REGINA","SK",12000,0
2023,"THE CALGARY FOUNDATION","CALGARY","AB",10000,0
2023,"FRANK J. FLAMAN FOUNDATION","NISKU","AB",10000,0
2023,"ACCESS COMMUNICATIONS CHILDREN'S FUND INC.","REGINA","SK",7500,0
2023,"FRANK J. FLAMAN FOUNDATION","NISKU","AB",5000,0
2023,"FRANK J. FLAMAN FOUNDATION","NISKU","AB",5000,0
2023,"SISTERS OF SERVICE OF CANADA","EAST YORK","ON",4500,0
2023,"SASKATCHEWAN K OF C CHARITABLE FOUNDATION","MOOSE JAW","SK",4000,0
2023,"Canadian Online Giving Foundation/Fondation canadienne de dons en ligne","CALGARY","AB",2898,0
2023,"LAWTON PARTNERS CHARITABLE GIVING FOUNDATION INC.","WINNIPEG","MB",2500,0
2023,"The Paul & Carol Hill Family Foundation","REGINA","SK",2500,0
2023,"THE JESUIT SEMINARY ASSOCIATION (SUBSIDIARY OF THE JESUIT FATHERS UPPER CANADA)","TORONTO","ON",1000,0
2023,"CANADAHELPS CANADON","TORONTO","ON",480,0
2023,"CHIMP: Charitable Impact Foundation (Canada)","VANCOUVER","BC",350,0
2023,"PayPal Giving Fund Canada","TORONTO","ON",150,0
2022,"MADONNA FOUNDATION","REGINA","SK",965000,0
2022,"Canadian Online Giving Foundation/Fondation canadienne de dons en ligne","CALGARY","AB",111329,0
2022,"ONE LIFE MAKES A DIFFERENCE","REGINA","SK",30000,0
2022,"LORNE AND EVELYN JOHNSON FOUNDATION","REGINA","SK",15000,0
2022,"F. K. MORROW FOUNDATION","TORONTO","ON",9000,0
2022,"FRANK J. FLAMAN FOUNDATION","NISKU","AB",5000,0
2022,"THE SOUTH SASKATCHEWAN COMMUNITY FOUNDATION INC.","REGINA","SK",5000,0
2022,"ACCESS COMMUNICATIONS CHILDREN'S FUND INC.","REGINA","SK",5000,0
2022,"SASKATCHEWAN K OF C CHARITABLE FOUNDATION","MOOSE JAW","SK",3000,0
2022,"UNITED WAY OF REGINA","REGINA","SK",1752,0
2022,"THE JESUIT SEMINARY ASSOCIATION (SUBSIDIARY OF THE JESUIT FATHERS UPPER CANADA)","TORONTO","ON",1000,0
2022,"SISTERS OF SERVICE OF CANADA","EAST YORK","ON",1000,0
2022,"CANADAHELPS CANADON","TORONTO","ON",629,0
2021,"MADONNA FOUNDATION","REGINA","SK",650000,0
2021,"LORNE AND EVELYN JOHNSON FOUNDATION","REGINA","SK",15000,0
2021,"ACCESS COMMUNICATIONS CHILDREN'S FUND INC.","REGINA","SK",5000,0
2021,"ONE LIFE MAKES A DIFFERENCE","REGINA","SK",5000,0
2021,"FRANK J. FLAMAN FOUNDATION","NISKU","AB",5000,0
2021,"SASKATCHEWAN K OF C CHARITABLE FOUNDATION","MOOSE JAW","SK",3000,0
2021,"LAWTON PARTNERS CHARITABLE GIVING FOUNDATION INC.","WINNIPEG","MB",2000,0
2021,"UNITED WAY OF REGINA","REGINA","SK",1617,0
2021,"THE CATHOLIC COLLEGE OF REGINA CAMPION COLLEGE","REGINA","SK",1600,0
2021,"Canadian Online Giving Foundation/Fondation canadienne de dons en ligne","CALGARY","AB",1546,0
2021,"SISTERS OF SERVICE OF CANADA","EAST YORK","ON",1000,0
2021,"CANADAHELPS CANADON","TORONTO","ON",577,0
2021,"THE JESUIT SEMINARY ASSOCIATION (SUBSIDIARY OF THE JESUIT FATHERS UPPER CANADA)","TORONTO","ON",500,0
2021,"UNITED WAY OF GREATER TORONTO","TORONTO","ON",458,0
