MOTHER TERESA MIDDLE SCHOOL INC. (821193604RR0001)
"Revenue","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011"
"4500: Total eligible amount of all gifts for which the charity issued tax receipts ($)",159297,161083,273105,212641,192422,136167,320750,198391,298926,195755,215534,300819,89041,42000
"5610: Total eligible amount of tax-receipted tuition fees ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4505: Total amount of 10 year gifts received ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4510: Total amount received from other registered charities ($)",1897767,1323845,933898,687644,756455,726803,409371,483293,462717,593178,522287,597829,267000,574000
"4530: Total other gifts received for which a tax receipt was not issued by the charity (excluding amounts at lines 4575 and 4630) ($)",0,0,0,8192,45485,88994,47193,0,896,71007,7091,0,2690,0
"4540: Total revenue received from federal government ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4550: Total revenue received from provincial / territorial governments ($)",512836,488620,506559,531240,479696,487083,501708,483564,481484,464280,294890,269074,85000,0
"4560: Total revenue received from municipal / regional governments ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4571: Total tax-receipted revenue from all sources outside of Canada (government and non-government) ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4575: Total non tax-receipted revenue from all sources outside Canada (government and non-government) ($)",40067,199000,230000,213210,200290,0,0,0,0,0,0,0,0,0
"4576: Enter the amount from line 4580 that represents the total interest and other income the charity received or earned from impact investments ($)",0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4577: Enter the total amount from Line 4580 that represents the total amount of interest and investment income received from persons who do not deal at arm’s length with the charity ($)",0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4580: Total interest and investment income received or earned ($)",0,3,10,0,0,0,0,0,0,88,96,0,0,0
"4590: Gross proceeds from disposition of assets ($)",15770,48749,0,4372,8700,201541,9960,4963,0,188209,27315,0,6000,0
"4600: Net proceeds from disposition of assets ($)",9388,-109,0,27011,367,-14372,-50,-35,540,630,2114,0,3203,0
"4610: Gross income received from rental of land and/or buildings ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4620: Total non tax-receipted revenues received for memberships, dues and association fees ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4630: Total non tax-receipted revenue from fundraising ($)",2250,2767,0,0,0,45709,49341,7958,42529,28250,57248,49845,0,0
"4640: Total revenue from sale of goods and services (except to any level of government in Canada) ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4650: Other revenue not already included in the amounts above ($)",737555,188263,276102,326045,487749,464467,461133,428566,363461,128564,199327,39825,44149,0
"4655: Specify type(s) of revenue included in the amount reported at 4650","sponsorship, grants, tuition, unrealized gain","sponsorship, grants, tuition, unrealized gain","sponsorship, grants, tuition, unrealized gain","sponsorship, grant, tuition","sponsorship, grant, tuition","sponsoriship, grant, tuition","sponsorship, grant, tuition, misc.","sponsorship, grant, tuition, misc.","sponsorship, grants, tuition","sponsorship, grants, tuition, security revalua","sponsorships, grants, tuition, security re-valua","spnsorships, grants, tuition, misc. income","grants (non-gov't);sponsor.;gst rebate; tuitic","n/a"
"4700: Total revenue ($)",3359160,2363472,2219674,2005983,2162464,1934851,1789446,1601737,1650553,1481752,1298587,1257392,491083,616000
