MOTHER TERESA MIDDLE SCHOOL INC. (821193604RR0001)
"Top 10 Highest Paid Employees¹","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011"
"305: $1 – $39,999 (#)",0,0,0,0,0,0,0,0,0,0,1,5,1,1
"310: $40,000 – $79,999 (#)",0,0,0,2,2,1,2,3,3,4,5,1,1,0
"315: $80,000 – $119,999 (#)",8,8,8,6,7,8,7,6,6,5,3,4,3,1
"320: $120,000 – $159,999 (#)",1,1,1,1,0,0,0,0,1,1,1,0,0,0
"3730: $120,000 and over² (#)","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"325: $160,000 – $199,999 (#)",0,0,0,0,1,1,1,1,0,0,0,0,0,0
"330: $200,000 – $249,999 (#)",1,1,1,0,0,0,0,0,0,0,0,0,0,0
"335: $250,000 – $299,999 (#)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"340: $300,000 – $349,999 (#)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"345: $350,000 and over (#)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
