BOARD OF EDUCATION OF THE REGINA ROMAN CATHOLIC SEPARATE SCHOOL DIVISION NO.81 OF SASKATCHEWAN (107882524RR0001)
"Assets","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"4100: Cash, bank accounts, and short-term investments ($)",36326416,45078376,37481097,46323358,30037373,36084781,27448575,27258921,28167195,26839875,27541466,24522253,26856196,28531497,29661197,27179948,25700138,19006968,12435896,7472973,10741647,12399650
"4101: Enter the total amounts in cash and bank accounts included on line 4100 ($)",0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4102: Enter the value of all short-term investments included on line 4100 with an original term to maturity not greater than one year ($)",0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4110: Amounts receivable from non-arm’s length persons ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4120: Amounts receivable from all others ($)",10513372,2814098,4233795,5878502,11545307,1692167,3294210,5197130,4034413,3224102,3265474,2043114,2204236,1396614,1255763,1276467,1662938,1300760,1921347,5126487,5800052,5085376
"4130: Investments in non-arm’s length persons ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4140: Long-term investments ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4150: Inventories ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4155: Land and buildings in Canada ($)",191503200,188974108,189559707,178181269,177236828,176801748,175823315,172335018,61230919,59381499,56265109,55096826,53203416,52928035,52320119,0,0,0,0,0,0,0
"4157: Enter the cost or fair market value of all land and buildings in Canada used for the charity’s charitable programs or administration that were included in line 4155 ($)",0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4158: Enter the cost or fair market value of all land and buildings in Canada not used for the charity’s charitable programs or administration that were included in line 4155 ($)",0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4160: Other capital assets in Canada ($)",44031258,33776166,26670408,18898869,15376247,15808741,15334709,15301005,81877183,30533894,23973321,24265887,23095822,21686889,21180841,66638792,66286837,65960889,65812085,65760187,65175971,64300764
"4165: Capital assets outside Canada ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4166: Accumulated amortization of capital assets ($)",-90624324,-88488051,-85169972,-74537255,-70690440,-66697489,-62220057,-58235379,-55886587,-50826345,-48626762,-51377104,-48689463,-46118677,-43253335,0,0,0,0,0,0,0
"4170: Other assets ($)",1490276,2655288,1408226,1305089,1310287,1334723,985864,822427,1025133,703539,585959,521819,542103,491659,437012,0,0,0,0,0,0,0
"4190: Enter the value of all impact investments including those reported in any other line ($)",0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4200: Total assets ($)",193240198,184809985,174183261,176049832,164815602,165024671,160666616,162679122,120448256,69856564,63004567,55072795,57212310,58916017,61601597,95095207,93649913,86268617,80169328,78359647,81717670,81785790
