BOARD OF EDUCATION OF THE REGINA ROMAN CATHOLIC SEPARATE SCHOOL DIVISION NO.81 OF SASKATCHEWAN (107882524RR0001)
"Expenses","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"4800: Advertising and promotion ($)",58891,65351,41163,21096,28973,17526,1640,71515,129195,119021,123491,121637,132613,121138,128994,119194,112706,95285,73613,112159,89205,82700
"4810: Travel and vehicle expenses ($)",209956,207748,164603,111681,129123,200520,196969,199572,198327,235352,249065,217406,210043,248570,256189,275845,249613,262708,173886,250821,240878,265995
"4820: Interest and bank charges ($)",6925,21316,155,244,115,163,131,3725,9185,11070,12295,10321,8432,2212,10152,8957,11037,5614,29950,13003,3627,3470
"4830: Licences, memberships, and dues ($)",25867,28883,26643,26969,220221,24883,39667,21170,32305,27738,30897,26557,21910,21531,16975,12366,8659,5846,0,0,0,0
"4840: Office supplies and expenses ($)",161459,167959,160718,175090,190703,185507,189956,160598,143909,138879,148687,157244,131100,153325,181137,163316,150665,190061,123352,212142,195730,249837
"4850: Occupancy costs ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4860: Professional and consulting fees ($)",472269,409274,459689,294221,250596,229950,705454,774831,689774,726070,632329,636751,589069,458131,323843,304353,303290,315629,250587,159343,331391,286640
"4870: Education and training for staff and volunteers ($)",481940,562792,522544,396893,405962,498923,452509,437378,448476,473690,486175,482660,438101,457277,465807,689648,526019,436122,212621,405067,395979,691817
"4880: Total expenditure on all compensation (enter the amount reported at line 390 in Schedule 3, if applicable) ($)",110977894,104722196,102017031,99892407,92452321,92207732,90871467,85894901,86647130,83655260,79947110,77283471,74243936,70292762,66794005,64756003,61156828,58061910,35751171,55548238,54412532,51618145
"4890: Fair market value of all donated goods used in charitable activities ($)",6164,5459,4600,1004,7430,4172,4842,47381,14599,19861,3245,14935,1187,5500,3472,7390,0,0,0,0,0,0
"4891: Purchased supplies and assets ($)",10078790,8932056,7716563,7467430,7227620,8070952,5709022,6043156,5864376,5496249,4783046,4394834,4260122,4153500,4425485,0,0,0,0,0,0,0
"4900: Amortization of capitalized assets ($)",5629431,5120966,5115103,4970204,5615347,6074153,7434936,4629359,6036285,3693280,2990378,3641711,3359288,3307374,2953922,0,0,0,0,0,0,0
"4910: Research grants and scholarships as part of charitable activities ($)",20600,20400,17850,14950,5800,5800,25750,25650,21100,21100,21100,21200,20700,14800,17400,17429,15000,16450,15250,16950,17300,15000
"4920: All other expenditures not included in the amounts above (excluding gifts to qualified donees) ($)",20194263,20443934,16049654,16847094,16899513,17273221,14362261,13216806,13029130,12743709,12368851,12252076,11097241,10842330,10749382,20393928,14063600,12843151,7955638,12072212,12746200,13253564
"4930: Specify type(s) of expenditures included in the amount reported at 4920","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","communications, transportation, building","communications, transportation, building","communications, transportation, building","communications, transporation, building","communications, transportation, building","student transportation, building operati","n/a","n/a","n/a","n/a","n/a","n/a"
"4950: Total expenditures before gifts to qualified donees ($)",148324449,140708334,132296316,130219283,123235524,124793502,119994604,111516042,113263791,107361279,101796669,99260803,94513742,90078450,86326763,86748429,76597417,72232776,44586068,68789935,68432842,66467168
"5045: Total grants made to non-qualified donees (grantees) — question only asked from 2022 onward ($)",0,0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"5100: Total expenditures ($)",148390912,140782822,132377267,130266651,123349454,124883342,120084154,111650323,113373912,107481410,101900331,99353844,94605662,90202546,86405257,86775003,76605533,72232876,44586368,68790995,68433062,66467268
