BOARD OF EDUCATION OF THE REGINA ROMAN CATHOLIC SEPARATE SCHOOL DIVISION NO.81 OF SASKATCHEWAN (107882524RR0001)
"Reporting Period","Donor Name","City","Prov","Reported Amount ($)","Gifts In Kind ($)"
2024,"BARBARA TOSCZAK FOUNDATION","WINNIPEG","MB",6250,0
2024,"The Jason Noel Pearson Memorial Foundation Inc.","SASKATOON","SK",500,0
2024,"UNITED WAY OF REGINA","REGINA","SK",77,0
2024,"UNITED WAY OF REGINA","REGINA","SK",42,0
2024,"UNITED WAY OF REGINA","REGINA","SK",6,0
2023,"BARBARA TOSCZAK FOUNDATION","WINNIPEG","MB",6250,0
2023,"The Jason Noel Pearson Memorial Foundation Inc.","SASKATOON","SK",500,0
2023,"UNITED WAY OF REGINA","REGINA","SK",125,0
2023,"UNITED WAY OF REGINA","REGINA","SK",31,0
2022,"BARBARA TOSCZAK FOUNDATION","WINNIPEG","MB",4000,0
2022,"The Jason Noel Pearson Memorial Foundation Inc.","SASKATOON","SK",500,0
2022,"UNITED WAY OF REGINA","REGINA","SK",198,0
2022,"UNITED WAY OF REGINA","REGINA","SK",0,0
2022,"UNITED WAY OF REGINA","REGINA","SK",0,0
2022,"UNITED WAY OF REGINA","REGINA","SK",0,0
2021,"CWB WELDING FOUNDATION","MILTON","ON",20000,0
2021,"BARBARA TOSCZAK FOUNDATION","WINNIPEG","MB",5250,0
2021,"PayPal Giving Fund Canada","TORONTO","ON",1052,0
2021,"UNITED WAY OF REGINA","REGINA","SK",139,0
2021,"Canadian Online Giving Foundation/Fondation canadienne de dons en ligne","CALGARY","AB",55,0
2021,"UNITED WAY OF REGINA","REGINA","SK",51,0
2021,"UNITED WAY OF REGINA","REGINA","SK",25,0
2020,"CWB WELDING FOUNDATION","MILTON","ON",10000,0
2020,"BARBARA TOSCZAK FOUNDATION","WINNIPEG","MB",6000,0
2020,"UNITED WAY OF REGINA","REGINA","SK",32,0
2020,"Canadian Online Giving Foundation/Fondation canadienne de dons en ligne","CALGARY","AB",25,0
2019,"BARBARA TOSCZAK FOUNDATION","VANCOUVER","BC",5000,0
2019,"ARCHIEPISCOPAL CORPORATION OF REGINA","REGINA","SK",5000,0
2019,"UNITED WAY OF REGINA","REGINA","SK",2640,0
2019,"ST. JEROME CATHOLIC SCHOOL COMMUNITY COUNCIL CORP.","REGINA","SK",375,0
2019,"UNITED WAY OF REGINA","REGINA","SK",137,0
2019,"INDIGO LOVE OF READING FOUNDATION/FONDATION INDIGO POUR L'AMOUR DE LA LECTURE","TORONTO","ON",90,0
2018,"UNITED WAY OF REGINA","REGINA","SK",35800,0
2018,"ARCHIEPISCOPAL CORPORATION OF REGINA","REGINA","SK",10000,0
2018,"INDIGO LOVE OF READING FOUNDATION/FONDATION INDIGO POUR L'AMOUR DE LA LECTURE","TORONTO","ON",10000,0
2018,"BARBARA TOSCZAK FOUNDATION","VANCOUVER","BC",5000,0
2018,"RBC FOUNDATION/RBC FONDATION","TORONTO","ON",1000,0
2018,"The Jason Noel Pearson Memorial Foundation Inc.","SASKATOON","SK",500,0
2018,"UNITED WAY OF REGINA","REGINA","SK",442,0
2018,"REGINA ROTARY CLUB COMMUNITY FUND INC.","REGINA","SK",229,0
2018,"UNITED WAY OF REGINA","REGINA","SK",48,0
2017,"CKRM GOOD NEIGHBOR FUND INC.","REGINA","SK",15000,0
2017,"CWB WELDING FOUNDATION","MILTON","ON",14000,0
2017,"BARBARA TOSCZAK FOUNDATION","VANCOUVER","BC",9500,0
2017,"CAS & MARIE BRODA FAMILY FOUNDATION INC","PRINCE ALBERT","SK",2500,0
2017,"RBC FOUNDATION/RBC FONDATION","TORONTO","ON",1000,0
2017,"The Jason Noel Pearson Memorial Foundation Inc.","SASKATOON","SK",500,0
2017,"UNITED WAY OF REGINA","REGINA","SK",480,0
2017,"UNITED WAY OF REGINA","REGINA","SK",206,0
2017,"UNITED WAY OF REGINA","REGINA","SK",150,0
2017,"UNITED WAY OF REGINA","REGINA","SK",102,0
2016,"GOODLIFE KIDS FOUNDATION","LONDON","ON",25000,0
2016,"MARIAN CENTRE INC","REGINA","SK",15000,0
2016,"ARCHIEPISCOPAL CORPORATION OF REGINA","REGINA","SK",10000,0
2016,"MARIAN CENTRE INC","REGINA","SK",8000,0
2016,"BARBARA TOSCZAK FOUNDATION","VANCOUVER","BC",7500,0
2016,"The Jason Noel Pearson Memorial Foundation Inc.","SASKATOON","SK",500,0
2016,"UNITED WAY OF REGINA","REGINA","SK",307,0
2016,"GOODLIFE KIDS FOUNDATION","LONDON","ON",300,0
2016,"ST. MATTHEW'S ANGLICAN CHURCH","REGINA","SK",200,0
2016,"UNITED WAY OF REGINA","REGINA","SK",80,0
2016,"UNITED WAY OF REGINA","REGINA","SK",30,0
2016,"UNITED WAY OF REGINA","REGINA","SK",1,0
2015,"MARIAN CENTRE INC","REGINA","SK",15000,0
2015,"ARCHIEPISCOPAL CORPORATION OF REGINA","REGINA","SK",10000,0
2015,"MARIAN CENTRE INC","REGINA","SK",8000,0
2015,"The Jason Noel Pearson Memorial Foundation Inc.","SASKATOON","SK",500,0
2015,"UNITED WAY OF REGINA","REGINA","SK",329,0
2015,"UNITED WAY OF REGINA","REGINA","SK",87,0
2015,"UNITED WAY OF REGINA","REGINA","SK",58,0
