BOARD OF EDUCATION OF THE REGINA ROMAN CATHOLIC SEPARATE SCHOOL DIVISION NO.81 OF SASKATCHEWAN (107882524RR0001)
"Reporting Period","Donee Name","City","Prov","Reported Amount ($)","Gifts In Kind ($)"
2024,"UNITED WAY OF REGINA","REGINA","SK",16693,0
2024,"THE TERRY FOX FOUNDATION","CHILLIWACK","BC",16269,0
2024,"REGINA & DISTRICT FOOD BANK INC.","REGINA","SK",7698,0
2024,"ARCHDIOCESE OF REGINA FOUNDATION INC.","REGINA","SK",7210,0
2024,"HOSPITALS OF REGINA FOUNDATION","REGINA","SK",6661,0
2024,"CATHOLIC FAMILY SERVICE SOCIETY OF REGINA","REGINA","SK",2735,0
2024,"HOLY FAMILY PARISH","REGINA","SK",2330,0
2024,"CHALICE (CANADA)","LOWER SACKVILLE","NS",2020,0
2024,"CANADAHELPS CANADON","TORONTO","ON",1933,0
2024,"YMCA OF REGINA","REGINA","SK",1000,0
2024,"UNICEF CANADA","TORONTO","ON",717,0
2024,"CAMP MONAHAN ASSOCIATION","REGINA","SK",509,0
2024,"TRUE PATRIOT LOVE FOUNDATION","REGINA","SK",315,0
2024,"ROYAL SASKATCHEWAN MUSEUM","REGINA","SK",300,0
2024,"SOULS HARBOUR RESCUE MISSION","REGINA","SK",70,0
2023,"UNITED WAY OF REGINA","REGINA","SK",15753,0
2023,"THE TERRY FOX FOUNDATION","CHILLIWACK","BC",13026,0
2023,"CANADAHELPS CANADON","TORONTO","ON",8734,0
2023,"CHALICE (CANADA)","LOWER SACKVILLE","NS",8732,0
2023,"ARCHDIOCESE OF REGINA FOUNDATION INC.","REGINA","SK",8700,0
2023,"HOSPITALS OF REGINA FOUNDATION","REGINA","SK",4653,0
2023,"CREATIVE KIDS CANADA INC.","REGINA","SK",3480,0
2023,"HOLY FAMILY PARISH","REGINA","SK",2700,0
2023,"CATHOLIC FAMILY SERVICE SOCIETY OF REGINA","REGINA","SK",2650,0
2023,"SOFIA HOUSE INC.","REGINA","SK",1272,0
2023,"PONTIFICAL ASSOCIATION OF THE HOLY CHILDHOOD OF CANADA","TORONTO","ON",1168,0
2023,"CHRIST THE KING PARISH","REGINA","SK",1142,0
2023,"CAMP MONAHAN ASSOCIATION","REGINA","SK",750,0
2023,"ROYAL CANADIAN LEGION","REGINA","SK",382,0
2023,"ROYAL SASKATCHEWAN MUSEUM","REGINA","SK",357,0
2023,"REGINA & DISTRICT FOOD BANK INC.","REGINA","SK",300,0
2023,"SPECIAL OLYMPICS SASKATCHEWAN","REGINA","SK",300,0
2023,"SAKSATCHEWAN ABILITIES COUNCIL INC.","SASKATOON","SK",187,0
2023,"THE GORD DOWNIE & CHANIE WENJACK FUND","OHSWEKEN","ON",107,0
2023,"HEART AND STROKE FOUNDATION","TORONTO","ON",89,0
2022,"UNITED WAY REGINA","REGINA","SK",16593,0
2022,"THE TERRY FOX FOUNDATION","CHILLIWACK","BC",13142,0
2022,"CHALICE (CANADA)","LOWER SACKVILLE","NS",11530,0
2022,"ARCHDIOCESE OF REGINA FOUNDATION INC","REGINA","SK",7090,0
2022,"REGINA & DISTRICT FOOD BANK INC","REGINA","SK",6618,0
2022,"THE BIG SKY CENTRE FOR LEARNING","REGINA","SK",6000,0
2022,"CANADAHELPS CANADON","TORONTO","ON",3013,0
2022,"CANADA RED CROSS","REGINA","SK",3010,0
2022,"HOSPITAL OF REGINA FOUNDATION","REGINA","SK",2966,0
2022,"CNEWA CANADA","REGINA","SK",2291,0
2022,"CATHOLIC FAMILY SERVICES SOCIETY OF REGINA","REGINA","SK",1908,0
2022,"HOLY FAMILY PARISH","REGINA","SK",1705,0
2022,"JOHN HOWARD SOCIETY OF SASKATCHEWAN","REGINA","SK",1255,0
2022,"CHILDRENS HERITAGE FUND - WSD","WINNIPEG","MB",630,0
2022,"SOUL'S HARBOUR","REGINA","SK",500,0
2022,"ROYAL CANADIAN LEGION","REGINA","SK",433,0
2022,"YWCA REGINA INC","REGINA","SK",433,0
2022,"MARIAN CENTRE INC","REGINA","SK",393,0
2022,"EDEN CARE COMMUNITIES FOUNDATION INC","REGINA","SK",357,0
2022,"CARMICHAEL OUTREACH","REGINA","SK",300,0
2022,"FRIENDS OF THE ROYAL SASKATCHEWAN MUSEUM","REGINA","SK",201,0
2022,"ALL NATIONS HOPE NETWORK","REGINA","SK",200,0
2022,"SASKATCHEWAN SPORTS HALL OF FAME","REGINA","SK",165,0
2022,"ST PETER'S HERITAGE SOCIETY","REGINA","SK",150,0
2022,"THE GORD DOWNIE & CHANIE WENJACK FUND","OHSWEKEN","ON",63,0
2021,"Chalice (Canada)","Lower Sackville","NS",10479,0
2021,"Regina & District Food Bank Inc.","Regina","SK",7520,0
2021,"United Way Regina","Regina","SK",5030,0
2021,"Hospitals of Regina Foundation","Regina","SK",5000,0
2021,"The Terry Fox Foundation","Chilliwack","BC",4940,0
2021,"Holy Family Parish","Regina","SK",3600,0
2021,"Archiepiscopal Corporation of Regina","Regina","SK",3067,0
2021,"Pontificial Missions of the Holy Childhood of Canada","Scarborough","ON",2675,0
2021,"Royal Canadian Legion","Regina","SK",1355,0
2021,"Canadahelps Canadon","Toronto","ON",851,0
2021,"Carmichael Outreach","Regina","SK",703,0
2021,"Eden Care Communities Foundation Inc.","Regina","SK",606,0
2021,"Roman Catholic Parish of the Ressurection","Regina","SK",500,0
2021,"Marian Centre Inc.","Regina","SK",368,0
2021,"Canadian Catholic Organization for Development and Peace","Montreal","QC",250,0
2021,"Alzheimer Society of Saskatchewan Inc.","Regina","SK",173,0
2021,"Eucharistic Apostles of Divine Mercy Canada Inc.","Regina","SK",150,0
2021,"Schizophrenia Society of Saskatchewan Inc.","Regina","SK",100,0
2020,"REGINA & DISTRICT FOOD BANK INC.","REGINA","SK",61258,0
2020,"THE TERRY FOX FOUNDATION","CHILLIWACK","BC",20038,0
2020,"CHALICE (CANADA)","LOWER SACKVILLE","NS",15252,0
2020,"UNITED WAY REGINA","REGINA","SK",9060,0
2020,"LIONS FOUNDATION OF CANADA","OAKVILLE","SK",1080,0
2020,"HOLY FAMILY PARISH","REGINA","SK",926,0
2020,"KINSMEN FOUNDATION","SASKATOON","SK",753,0
2020,"MARIAN CENTRE INC","REGINA","SK",612,0
2020,"THE SALVATION ARMY","TORONTO","ON",563,0
2020,"THE CANADIAN RED CROSS SOCIETY","SAINT JOHN","SK",523,0
2020,"TEDDY BEARS ANNOYMOUS","REGINA","SK",523,0
2020,"KIDS HELP PHONE/  JEUNESSE J'ECOUTE","TORONTO","ON",500,0
2020,"PONTIFICIAL MISSIONS OF THE HOLY CHILDHOOD OF CANADA","SCARBOROUGH","ON",474,0
2020,"ROYAL CANADIAN LEGION","REGINA","SK",442,0
2020,"ROMAN CATHOLIC PARISH OF THE RESSURECTION","REGINA","SK",350,0
2020,"MOTHER TERESA MIDDLE SCHOOL INC","REGINA","SK",307,0
2020,"CHILDHOOD CANCER CANADA FOUNDATION","TORONTO","ON",275,0
2020,"CANADIAN DIABETES ASSOCIATION","REGINA","SK",250,0
2020,"SOUTHERN ALBERTA INSTITUTE OF TECHNOLOGY","CALGARY","AB",211,0
2020,"VISITATION HOUSE","REGINA","SK",150,0
2020,"GOVERNMENT HOUSE HISTORICAL SOCIETY INC.","REGINA","SK",145,0
2020,"SOULS HARBOUR RESCUE MISSION, INC.","REGINA","SK",135,0
2020,"SOFIA HOUSE INC","REGINA","SK",54,0
2020,"LEBRET MUSEUM INC","LABRET","SK",44,0
2018,"Chalice (Canada)","Lower Sackville","NS",27781,0
2018,"The Terry Fox Foundation","Chilliwack","BC",22103,0
2018,"All Nations Hope Aids Network Inc.","Regina","SK",6196,0
2018,"Jim Pattison Children's Hospital Foundation Inc.","Saskatoon","SK",5604,0
2018,"United Way Regina","Regina","SK",3800,0
2018,"Regina & District Food Bank Inc.","Regina","SK",3707,0
2018,"Pontificial Missions of the Holy Childhood of Canada","Scarborough","ON",3142,0
2018,"Hospitals of Regina Foundation","Regina","SK",2800,0
2018,"Street Culture Kidz Project Inc.","Regina","SK",2400,0
2018,"Visitation House","Regina","SK",2368,0
2018,"The George Reed Foundation","Regina","SK",1342,0
2018,"The Robb Nash Project","Winnipeg","MB",1000,0
2018,"Holy Cross Church","Regina","SK",800,0
2018,"Friends of the Royals Saskatchewan Museum Inc.","Regina","SK",752,0
2018,"Regina Youth for Christ","Regina","SK",650,0
2018,"Carmichael Outreach","Regina","SK",600,0
2018,"Saskatoon Community Foundation","Saskatoon","SK",562,0
2018,"Canada Helps Canadon","Toronto","ON",537,0
2018,"ANCOP International (Canada) Inc.","Mississauga","ON",456,0
2018,"Marian Centre Inc.","Regina","SK",376,0
2018,"The Children's Wish Foundation of Canada","Pickering","ON",373,0
2018,"Regina Humane Society Inc.","Regina","SK",351,0
2018,"Youth for Christ Canada","Langley","BC",300,0
2018,"The Earth Rangers Foundation","Woodbridge","ON",252,0
2018,"Royal Canadian Legion","Regina","SK",250,0
2018,"Government House Historical Society Inc.","Regina","SK",229,0
2018,"I Love First Peoples","Gatineau","QC",196,0
2018,"Canadian Catholic Organization for Development and Peace","Montreal","QC",150,0
2018,"Canadian Cancer Society","Regina","SK",100,0
2018,"Roman Catholic Parish of the Ressurection","Regina","SK",100,0
2018,"Prostate Cancer Canada","Toronto","ON",82,0
2018,"Souls Harbour Rescue Mission,Inc.","Regina","SK",76,0
2018,"St. John Canada Foundation","Ottawa","ON",60,0
2018,"The Canadian Red Cross Society","Saint John","NB",50,0
2017,"Chalice (Canada)","Lower Sackville","NS",41465,0
2017,"The Terry Fox Foundation","Chlliwack","BC",26659,0
2017,"United Way of Regina","Regina","SK",15495,0
2017,"Pontificial Missions of the Holy Childhood of Canada","Scarborough","ON",7656,0
2017,"Hospitals of Regina Foundation","Regina","SK",6279,0
2017,"Autism Resource Centre Inc.","Regina","SK",5950,0
2017,"Regina & District Food Bank Inc.","Regina","SK",5149,0
2017,"Jim Pattison Children's Hospital Foundation Inc.","Saskatoon","SK",4726,0
2017,"Teddy Bears Anonymous","Regina","SK",2727,0
2017,"Myriam Family of the Prairies Inc.","Regina","SK",2330,0
2017,"Regina Humane Society Inc.","Regina","SK",1997,0
2017,"The Children's Wish Foundation of Canada","Pickering","ON",1579,0
2017,"FAV Foundation Inc","Regina","SK",1500,0
2017,"Holy Trinity Parish","Regina","SK",1265,0
2017,"Juno Beach Centre","Burlington","ON",1100,0
2017,"Breast Cancer Action Saskatchewan","Regina","SK",1045,0
2017,"Saskatchewan Pro-Life Association Educational Trust Foundati","Regina","SK",1000,0
2017,"Goodlife Kids Foundation","London","ON",1000,0
2017,"Royal Canadian Legion","Regina","SK",726,0
2017,"Carmichael Outreach","Regina","SK",720,0
2017,"Heritage Regina","Regina","SK",500,0
2017,"Dominican Advance Christian Charity","Cambridge","ON",468,0
2017,"ANCOP International (Canada) Inc.","Mississauga","SK",456,0
2017,"Holy Cross Church","Regina","SK",400,0
2017,"Archiepiscopal Corporation of Regina","Regina","SK",400,0
2017,"Friends of the Royals Saskatchewan Museum Inc.","Regina","SK",386,0
2017,"Government House Historical Society Inc.","Regina","SK",365,0
2017,"Souls Harbour Rescue Mission, Inc.","Regina","SK",311,0
2017,"Marian Centre Inc.","Regina","SK",311,0
2017,"Roman Catholic Parish of the Ressurection","Regina","SK",150,0
2017,"St. John Canada Foundation","Ottawa","ON",100,0
2017,"Kinsmen Foundation Inc.","Saskatoon","SK",60,0
2016,"Chalice (Canada)","Lower Sackville","NS",43249,0
2016,"The Terry Fox Foundation","Chilliwack","BC",26626,0
2016,"Canadian Red Cross Society","Regina","SK",8094,0
2016,"Pontificial Missions of the Holy Childhood of Canada","Scarborough","ON",7051,0
2016,"Roman Catholic Archdiocese of Regina","Regina","SK",5075,0
2016,"Roman Catholic Parish of the Ressurection","Regina","SK",2514,0
2016,"Hospitals of Regina Foundation","Regina","SK",2195,0
2016,"Plan International Canada Inc.","Toronto","ON",1788,0
2016,"Heart & Stroke Foundation of Canada","Ottawa","ON",1534,0
2016,"Holy Trinity Parish","Regina","SK",1400,0
2016,"Hope's Home","Regina","SK",1366,0
2016,"Regina & District Food Bank Inc.","Regina","SK",1227,0
2016,"Regina Open Door Society Inc.","Regina","SK",1153,0
2016,"The Children's Wish Foundation of Canada","Pickering","ON",1149,0
2016,"Royal Canadian Legion","Regina","SK",973,0
2016,"Prostate Cancer Canada","Toronto","ON",683,0
2016,"Kids Can Free the Kitchen","Toronto","ON",645,0
2016,"Teddy Bears Anonymous","Regina","SK",461,0
2016,"Lions Club International District 5CN Sight and Service Foun","Prince Albert","SK",456,0
2016,"Kids Help Phone/Jeunesse J'Ecoute","Toronto","ON",454,0
2016,"Domician Advance Christian Charity","Cambridge","ON",429,0
2016,"Friends of the Royals Saskatchewan Museum Inc.","Regina","SK",314,0
2016,"Movember Canada","Toronto","ON",211,0
2016,"St. Peter's Heritage Society Inc.","Regina","SK",200,0
2016,"Samaritan's Purse","Regina","SK",175,0
2016,"Kinsmen Foundation Inc.","Saskatoon","SK",145,0
2016,"Breast Cancer Action Saskatchewan","Regina","SK",137,0
2016,"ANCOP International (Canada) Inc.","Mississauga","ON",128,0
2016,"Saskatchewan Science Centre","Regina","SK",100,0
2016,"Christ the King Roman Catholic Parish","Regina","SK",80,0
2016,"Regina Humane Society Inc.","Regina","SK",50,0
2016,"Government House Historical Society Inc.","Regina","SK",50,0
2015,"Chalice (Canada)","Lower Sackville","NS",59001,0
2015,"The Terry Fox Foundation","Chilliwack","BC",19883,0
2015,"Pontifical Missions of the Holy Childhood of Canada","Scarborough","ON",8974,0
2015,"Special Olympics Saskatchewan Inc.","Regina","SK",5715,0
2015,"Heart & Stroke Foundation of Canada","Ottawa","ON",4949,0
2015,"Teddy Bears Anonymous","Regina","SK",3273,0
