BOARD OF EDUCATION OF THE REGINA ROMAN CATHOLIC SEPARATE SCHOOL DIVISION NO.81 OF SASKATCHEWAN (107882524RR0001)
"Revenue","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"4500: Total eligible amount of all gifts for which the charity issued tax receipts ($)",92517,138815,2157432,92740,90919,88412,79103,92305,26148,27120,63674,66770,89238,68278,42730,26963,26513,31659,6165,13970,36170,28367
"5610: Total eligible amount of tax-receipted tuition fees ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4505: Total amount of 10 year gifts received ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4510: Total amount received from other registered charities ($)",25229,36630,10875,14213,5000,7850,6250,1200,9030,3456,5844,0,500,6600,800,10500,750,0,0,900,2177,900
"4530: Total other gifts received for which a tax receipt was not issued by the charity (excluding amounts at lines 4575 and 4630) ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4540: Total revenue received from federal government ($)",750291,617821,708349,749367,877182,627860,305966,869294,739318,733070,769343,791441,764978,766899,778561,835427,758680,751615,507232,765727,871294,285270
"4550: Total revenue received from provincial / territorial governments ($)",112466061,98143991,78437115,89809853,78851302,88835471,102067655,115262437,120090395,75708552,68493783,59823722,54713296,51630632,48895091,48984551,41615213,40199967,22369890,35944470,33353714,29865976
"4560: Total revenue received from municipal / regional governments ($)",43286486,43143922,43064520,42585524,78851302,28595190,13558591,39263759,36123964,35163358,34564673,33608186,33187601,32905794,33332840,33152401,34022807,32724325,21160405,27536450,31648096,34837546
"4571: Total tax-receipted revenue from all sources outside of Canada (government and non-government) ($)",0,0,0,0,43072449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4575: Total non tax-receipted revenue from all sources outside Canada (government and non-government) ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4576: Enter the amount from line 4580 that represents the total interest and other income the charity received or earned from impact investments ($)",0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4577: Enter the total amount from Line 4580 that represents the total amount of interest and investment income received from persons who do not deal at arm’s length with the charity ($)",0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4580: Total interest and investment income received or earned ($)",952921,1215969,357438,213740,379801,502680,285863,161878,139575,170982,141798,177367,207822,222425,114882,268354,543980,370943,88908,209325,239963,307737
"4590: Gross proceeds from disposition of assets ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4600: Net proceeds from disposition of assets ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,79578,0,0,0,0,0,0,0
"4610: Gross income received from rental of land and/or buildings ($)",331852,268327,361307,307274,370728,373882,231680,168135,167783,148577,137791,94115,96987,93479,90302,88136,69753,68981,44420,73704,84170,62732
"4620: Total non tax-receipted revenues received for memberships, dues and association fees ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4630: Total non tax-receipted revenue from fundraising ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4640: Total revenue from sale of goods and services (except to any level of government in Canada) ($)",139871,3417928,0,0,97874,10844,6964,18000,16691,11387,91567,1013,8887,135,725,110301,109532,111831,76073,125556,95193,89256
"4650: Other revenue not already included in the amounts above ($)",3641733,3014782,3464121,3196482,3418300,4165039,3992631,4228153,4766857,3777965,3791279,3455516,3486363,3212181,3778858,3616291,2422789,1614584,941123,1619263,1622894,1566816
"4655: Specify type(s) of revenue included in the amount reported at 4650","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4700: Total revenue ($)",161686961,149998185,126561157,136969193,127163555,123207228,120534703,160065161,162079761,115744467,108059752,98018100,92555672,88906423,87114367,87092924,79570017,75873905,45194216,66289365,67953671,67044600
