REGINA HUDA SCHOOL INC (898236922RR0001)
"Assets","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"4100: Cash, bank accounts, and short-term investments ($)",8992822,7107344,5827329,4552046,2688592,1232878,236598,1377105,2863798,3847497,3028703,2014257,1035526,816011,637340,432308,190450,70541,71061,127962,140579,185375
"4101: Enter the total amounts in cash and bank accounts included on line 4100 ($)",8992822,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4102: Enter the value of all short-term investments included on line 4100 with an original term to maturity not greater than one year ($)",0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4110: Amounts receivable from non-arm’s length persons ($)",0,16726,12320,14193,24206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4120: Amounts receivable from all others ($)",21917,0,0,0,0,60574,89533,93348,76871,0,0,0,0,0,0,0,0,0,0,0,0,0
"4130: Investments in non-arm’s length persons ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4140: Long-term investments ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4150: Inventories ($)",93270,97655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4155: Land and buildings in Canada ($)",0,10249617,10249617,10222473,10173456,9955291,0,6440329,3559521,1183244,576972,598135,619298,640460,661623,682786,0,0,0,0,0,0
"4157: Enter the cost or fair market value of all land and buildings in Canada used for the charity’s charitable programs or administration that were included in line 4155 ($)",0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4158: Enter the cost or fair market value of all land and buildings in Canada not used for the charity’s charitable programs or administration that were included in line 4155 ($)",0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4160: Other capital assets in Canada ($)",0,430758,427933,427934,313529,313529,9056389,0,304922,304921,11874,19731,22776,29884,20236,45484,758464,652399,516351,553337,583793,532325
"4165: Capital assets outside Canada ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4166: Accumulated amortization of capital assets ($)",0,-1616249,-1284530,-953547,-631117,-600075,-568688,-539023,-516840,-494657,0,0,0,0,0,0,0,0,0,0,0,0
"4170: Other assets ($)",12801,29243,6158,5299,33134,11525,9846,0,0,0,0,0,0,0,0,0,3219,113,170,226,283,340
"4190: Enter the value of all impact investments including those reported in any other line ($)",0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4200: Total assets ($)",9120810,16315094,15238827,14268398,12601800,10973722,8823678,7371759,6288272,4841005,3617549,2632123,1677600,1486355,1319199,1160578,952133,723053,587582,681525,724655,718040
