REGINA HUDA SCHOOL INC (898236922RR0001)
"Expenses","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"4800: Advertising and promotion ($)",0,0,0,0,0,0,0,0,0,0,0,0,1200,513,0,0,515,0,0,0,1058,12294
"4810: Travel and vehicle expenses ($)",64793,50780,95638,57784,50167,72702,94915,58511,78825,329,0,488,363,320,43731,27471,16801,15451,10410,11764,11329,12556
"4820: Interest and bank charges ($)",1060,1888,1231,903,1047,519,423,257,191,1836,1500,1597,1493,296,111,244,0,0,238,32,187,25
"4830: Licences, memberships, and dues ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4840: Office supplies and expenses ($)",19649,20236,19396,17804,20376,14775,45147,38888,13598,11539,10591,7285,11170,7655,6054,11597,5986,4295,3824,2315,2733,1487
"4850: Occupancy costs ($)",296133,323470,266639,254666,377932,311387,422351,322801,126696,123726,184936,81393,115691,146353,68803,40013,59658,86183,58814,56677,40408,43960
"4860: Professional and consulting fees ($)",15685,15031,13622,11366,12057,11666,10667,10395,9038,3336,4617,2205,1990,1979,2173,1522,2357,146,1708,0,915,858
"4870: Education and training for staff and volunteers ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478,0,0,0,0,0
"4880: Total expenditure on all compensation (enter the amount reported at line 390 in Schedule 3, if applicable) ($)",506866,481194,465585,467629,426825,486070,446320,341742,383617,408670,337284,297007,325566,283756,274285,155189,135653,126691,98763,103138,115493,97992
"4890: Fair market value of all donated goods used in charitable activities ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95579,97986,104083,76994,140275,59809
"4891: Purchased supplies and assets ($)",246215,290300,156880,152843,222438,257678,183874,120998,143242,141487,153584,99741,124726,108760,74829,71713,0,0,0,0,0,0
"4900: Amortization of capitalized assets ($)",335438,331718,330984,322430,31042,31387,29665,22183,22183,30994,29020,29310,28291,28291,26439,31647,58359,56526,58371,38734,76016,33855
"4910: Research grants and scholarships as part of charitable activities ($)",0,0,0,0,0,0,0,0,0,0,0,30001,0,0,0,0,0,0,0,0,0,0
"4920: All other expenditures not included in the amounts above (excluding gifts to qualified donees) ($)",84982,47724,47378,34209,43901,48161,37290,21753,24198,29364,22042,0,25461,39004,18111,16458,26020,39539,45983,13706,28054,6508
"4930: Specify type(s) of expenditures included in the amount reported at 4920","insurance, fundraising, gst exp","insurance fundraising gst exp","insurance, fundraising, gst exp","insurance fundraising gst exp","insurance fundraising, gst","insurance fundraising","insurance fundraisin","insurance fundraising gst","insurance, fundraising, gst expense","insur, fundraising, gst","insur, fundraising, gst paid","n/a","insurance, fundraising, gst","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4950: Total expenditures before gifts to qualified donees ($)",1570821,1562341,1397353,1319634,1185785,1234345,1270652,937528,801588,751281,743574,549024,635951,616927,514536,355854,401405,426817,382194,303360,416468,269344
"5045: Total grants made to non-qualified donees (grantees) — question only asked from 2022 onward ($)",0,0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"5100: Total expenditures ($)",1570821,1562341,1397353,1324634,1185785,1234345,1270652,937528,801588,751281,743574,549024,622636,607181,514536,359989,401405,426817,403394,323360,416468,269344
