REGINA HUDA SCHOOL INC (898236922RR0001)
"Revenue","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"4500: Total eligible amount of all gifts for which the charity issued tax receipts ($)",2276034,1999585,1820541,1532394,1477031,1685871,1524969,1239098,1436979,1243121,1409160,1324008,789051,737167,634396,499814,715440,427843,292064,314713,462101,303342
"5610: Total eligible amount of tax-receipted tuition fees ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107825,93605,73840,95875,78610
"4505: Total amount of 10 year gifts received ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4510: Total amount received from other registered charities ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4530: Total other gifts received for which a tax receipt was not issued by the charity (excluding amounts at lines 4575 and 4630) ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4540: Total revenue received from federal government ($)",0,0,0,0,0,0,0,0,0,0,0,0,24420,0,0,0,0,0,0,0,0,0
"4550: Total revenue received from provincial / territorial governments ($)",0,0,0,0,0,0,0,0,0,0,0,0,13706,0,0,0,0,0,0,0,0,0
"4560: Total revenue received from municipal / regional governments ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4571: Total tax-receipted revenue from all sources outside of Canada (government and non-government) ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4575: Total non tax-receipted revenue from all sources outside Canada (government and non-government) ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4576: Enter the amount from line 4580 that represents the total interest and other income the charity received or earned from impact investments ($)",0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4577: Enter the total amount from Line 4580 that represents the total amount of interest and investment income received from persons who do not deal at arm’s length with the charity ($)",0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4580: Total interest and investment income received or earned ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4590: Gross proceeds from disposition of assets ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0
"4600: Net proceeds from disposition of assets ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4610: Gross income received from rental of land and/or buildings ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690,940,1533,1287,807,1514,220
"4620: Total non tax-receipted revenues received for memberships, dues and association fees ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4630: Total non tax-receipted revenue from fundraising ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4640: Total revenue from sale of goods and services (except to any level of government in Canada) ($)",0,0,0,0,0,0,0,0,0,40590,42000,39320,0,32325,28015,19160,1590,5040,3270,7635,10426,11790
"4650: Other revenue not already included in the amounts above ($)",903725,655406,728454,1445685,1324154,1492525,1260259,903347,622828,688078,274058,134104,0,14590,10247,48770,22514,15872,12830,7075,19043,399
"4655: Specify type(s) of revenue included in the amount reported at 4650","n/a","activity fees etc","activity fees","activity fees and grants and subsidies","books uniforms activities cews, ceba forgiveness","school board, gst","school board, gst","school board and gst","school board, gst rebate","sales and school board, gst refund","sales, school board,","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4700: Total revenue ($)",3179759,2654991,2548995,2978079,2801185,3178396,2785228,2142445,2059807,1971789,1725218,1497432,827177,784082,673158,568434,740484,450288,309451,330230,493084,315751
