BOARD OF EDUCATION OF THE REGINA SCHOOL DIVISION NO. 4 OF SASKATCHEWAN (118812767RR0001)
"Assets","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"4100: Cash, bank accounts, and short-term investments ($)",54604691,50862763,66177609,80614945,77825399,76262491,73371219,73152840,83592514,81000864,83026142,84457003,90665840,81868215,80026036,82229226,74799377,52182564,40686150,30149472,33835733,35029730
"4101: Enter the total amounts in cash and bank accounts included on line 4100 ($)",54604691,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4102: Enter the value of all short-term investments included on line 4100 with an original term to maturity not greater than one year ($)",0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4110: Amounts receivable from non-arm’s length persons ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4120: Amounts receivable from all others ($)",12540521,4604573,6197028,8822740,5146794,4539845,3461106,15763505,10459757,7757867,5843881,3828633,2812511,3609485,6362291,6947879,3013365,3262534,2938804,8128762,8108884,5212196
"4130: Investments in non-arm’s length persons ($)",674716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4140: Long-term investments ($)",0,724716,391716,488716,725255,725255,724993,725000,725000,725000,725000,695360,695360,702464,658135,682513,687870,692671,697222,700128,705029,255653
"4150: Inventories ($)",178786,114133,128162,96928,211842,696961,285283,373514,307491,307544,407167,566454,551758,385373,1892644,414850,738561,1175475,427981,42593,0,0
"4155: Land and buildings in Canada ($)",382239770,390394200,370120788,365414880,362882219,357645140,357535802,355936036,318975873,241879842,211503936,186171861,134084109,134504799,133190895,145006203,0,0,0,0,0,0
"4157: Enter the cost or fair market value of all land and buildings in Canada used for the charity’s charitable programs or administration that were included in line 4155 ($)",0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4158: Enter the cost or fair market value of all land and buildings in Canada not used for the charity’s charitable programs or administration that were included in line 4155 ($)",0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4160: Other capital assets in Canada ($)",54088454,42537606,59665045,44852881,35317048,40010223,49549526,40088904,31074226,29192266,37379419,41207729,76735134,40711075,26017132,24006084,162822313,160832437,158662454,158733180,158703229,146764018
"4165: Capital assets outside Canada ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4166: Accumulated amortization of capital assets ($)",-180065430,-171981913,-165751297,-151269991,-142112598,-135190807,-127561796,-118969901,-111497459,-105610668,-99504698,-96215588,-93053690,-91839588,-88390006,0,0,0,0,0,0,0
"4170: Other assets ($)",2194700,1648894,1823986,1634603,1596050,1591468,1445261,975802,958948,3858048,2310178,2348551,1638124,1612535,2262677,1393688,1080063,1042020,652196,125015,116949,117164
"4190: Enter the value of all impact investments including those reported in any other line ($)",0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4200: Total assets ($)",326456208,318904972,338753037,350655702,341592009,346280576,349811394,368045700,334596350,259110763,241691025,223060003,214129156,171554358,162019804,260680443,243141549,219187701,204064807,197879150,0,187378761
