BOARD OF EDUCATION OF THE REGINA SCHOOL DIVISION NO. 4 OF SASKATCHEWAN (118812767RR0001)
"Expenses","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"4800: Advertising and promotion ($)",601274,614414,552646,558102,563215,584800,577026,543501,576483,631559,661535,683265,612731,553150,656115,796766,291698,268453,170340,194618,225012,207903
"4810: Travel and vehicle expenses ($)",322994,328239,387839,311604,346256,378020,386071,368287,361892,435071,416919,429368,399955,642435,601265,482414,484684,436935,266567,428150,415604,241926
"4820: Interest and bank charges ($)",622845,762678,791677,817301,913465,1070016,1138458,1218651,1245735,1256715,1014297,807125,449810,214981,216535,289053,264328,254591,175466,355532,415695,1048288
"4830: Licences, memberships, and dues ($)",252690,251631,233869,190127,186093,177507,77599,71670,21949,20839,24828,24736,22319,15268,15083,0,0,0,0,111204,86197,89845
"4840: Office supplies and expenses ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301876,426656,184059,304887,281907,378968
"4850: Occupancy costs ($)",20866248,25170708,21009510,23221430,21839458,21725894,19447399,20178097,21895348,21696837,20468746,20717031,12193069,12869032,14119060,0,0,0,0,0,0,0
"4860: Professional and consulting fees ($)",2637254,2562191,3154859,2144956,1374614,1771147,1773736,1993814,1485870,1531285,1261656,1237840,1300787,1550635,1343073,1201827,0,0,0,0,0,0
"4870: Education and training for staff and volunteers ($)",1033836,937123,935687,972601,830102,930637,830517,688813,698549,793678,610005,740501,758540,719081,1109968,890041,683485,720182,372060,537966,586597,633745
"4880: Total expenditure on all compensation (enter the amount reported at line 390 in Schedule 3, if applicable) ($)",224058779,220737003,212551410,204017750,191936482,188758878,185582207,184347900,179035030,176030068,169850027,161602586,153647905,146614029,141989204,133675931,130429270,123170241,95157197,117734178,114081485,108873418
"4890: Fair market value of all donated goods used in charitable activities ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22972593,21286339,15472035,20847332,19855029,21268086
"4891: Purchased supplies and assets ($)",25827532,25076769,22853111,20848853,19963361,20055914,18847619,22164903,22455692,23446216,22995151,21665056,18811754,18609874,18584064,46092590,0,0,0,0,0,0
"4900: Amortization of capitalized assets ($)",13181834,13551013,13099352,12738791,12345635,11905147,11735635,8995587,8352213,7501609,6678027,6516162,5563787,5639661,5019841,0,0,0,0,0,0,0
"4910: Research grants and scholarships as part of charitable activities ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4920: All other expenditures not included in the amounts above (excluding gifts to qualified donees) ($)",0,0,0,0,0,0,0,0,0,0,72330,0,0,0,0,0,10377690,9799267,2106250,5321023,11786268,2013089
"4930: Specify type(s) of expenditures included in the amount reported at 4920","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4950: Total expenditures before gifts to qualified donees ($)",289405286,289991769,275569960,265821515,250298681,247357960,240396267,240571223,236128761,233343877,224053521,214423670,193760657,187428146,183654208,183428622,165805624,156362664,93903974,145834890,147733794,134755268
"5045: Total grants made to non-qualified donees (grantees) — question only asked from 2022 onward ($)",0,0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"5100: Total expenditures ($)",289405286,289991769,275569960,265821515,250298681,247357960,240396267,240571223,236128761,233343877,224053521,214423670,193760657,187428146,183654208,183428622,165805624,156362664,93903974,145834890,147733794,134755268
