BOARD OF EDUCATION OF THE REGINA SCHOOL DIVISION NO. 4 OF SASKATCHEWAN (118812767RR0001)
"Reporting Period","Donor Name","City","Prov","Reported Amount ($)","Gifts In Kind ($)"
2024,"SASKATCHEWAN ROUGHRIDER FOUNDATION INC.","REGINA","SK",20000,0
2024,"BARBARA TOSCZAK FOUNDATION","WINNIPEG","MB",6250,0
2023,"SASKATCHEWAN ROUGHRIDER FOUNDATION INC.","REGINA","SK",50000,0
2023,"STRATEGIC CHARITABLE GIVING FOUNDATION","TORONTO","ON",41095,0
2023,"BARBARA TOSCZAK FOUNDATION","WINNIPEG","MB",6250,0
2023,"TD FRIENDS OF THE ENVIRONMENT FOUNDATION","TORONTO","ON",6000,0
2023,"THE SOUTH SASKATCHEWAN COMMUNITY FOUNDATION INC.","REGINA","SK",3000,0
2023,"Canadian Online Giving Foundation/Fondation canadienne de dons en ligne","CALGARY","AB",1052,0
2023,"R.C.C.G. Amazing Grace Parish Incorporated","REGINA","SK",1000,0
2023,"THE MYRON AND CATHERINE TETREAULT FOUNDATION","CALGARY","AB",500,0
2022,"SASKATCHEWAN ROUGHRIDER FOUNDATION INC.","REGINA","SK",40000,0
2022,"STRATEGIC CHARITABLE GIVING FOUNDATION","TORONTO","ON",27172,0
2022,"Second Harvest Canada Deuxième Récolte Canada","ETOBICOKE","ON",20000,0
2022,"CWB WELDING FOUNDATION","MILTON","ON",10000,0
2022,"TD FRIENDS OF THE ENVIRONMENT FOUNDATION","TORONTO","ON",8200,0
2022,"BARBARA TOSCZAK FOUNDATION","WINNIPEG","MB",4000,0
2022,"RBC FOUNDATION/RBC FONDATION","TORONTO","ON",2000,0
2022,"R.C.C.G. Amazing Grace Parish Incorporated","REGINA","SK",1000,0
2022,"Canadian Online Giving Foundation/Fondation canadienne de dons en ligne","CALGARY","AB",625,0
2022,"THE MYRON AND CATHERINE TETREAULT FOUNDATION","CALGARY","AB",500,0
2022,"UNITED WAY OF REGINA","REGINA","SK",127,0
2022,"UNITED WAY OF REGINA","REGINA","SK",0,0
2021,"Club des petits déjeuners du Canada - Breakfast Club of Canada","BOUCHERVILLE","QC",222350,0
2021,"STRATEGIC CHARITABLE GIVING FOUNDATION","TORONTO","ON",25632,0
2021,"SASKATCHEWAN ROUGHRIDER FOUNDATION INC.","REGINA","SK",10000,0
2021,"BARBARA TOSCZAK FOUNDATION","WINNIPEG","MB",5250,0
2021,"TD FRIENDS OF THE ENVIRONMENT FOUNDATION","TORONTO","ON",3000,0
2021,"Canadian Online Giving Foundation/Fondation canadienne de dons en ligne","CALGARY","AB",1260,0
2021,"THE MYRON AND CATHERINE TETREAULT FOUNDATION","CALGARY","AB",500,0
2020,"Club des petits déjeuners du Canada - Breakfast Club of Canada","BOUCHERVILLE","QC",56430,0
2020,"INDIGO LOVE OF READING FOUNDATION/FONDATION INDIGO POUR L'AMOUR DE LA LECTURE","TORONTO","ON",20572,0
2020,"STRATEGIC CHARITABLE GIVING FOUNDATION","TORONTO","ON",13504,0
2020,"BARBARA TOSCZAK FOUNDATION","WINNIPEG","MB",6000,0
2020,"RBC FOUNDATION/RBC FONDATION","TORONTO","ON",1500,0
2020,"REGINA ROTARY CLUB COMMUNITY FUND INC.","REGINA","SK",1200,0
2020,"THE MYRON AND CATHERINE TETREAULT FOUNDATION","CALGARY","AB",500,0
2020,"CANADAHELPS CANADON","TORONTO","ON",320,0
2020,"Canadian Online Giving Foundation/Fondation canadienne de dons en ligne","CALGARY","AB",200,0
2019,"Club des petits déjeuners du Canada - Breakfast Club of Canada","BOUCHERVILLE","QC",27000,0
2019,"KUSISTO-SEXTON FOUNDATION INC.","REGINA","SK",15000,0
2019,"MUSIC EDUCATION CHARITY OF CANADA","TORONTO","ON",15000,0
2019,"INDIGO LOVE OF READING FOUNDATION/FONDATION INDIGO POUR L'AMOUR DE LA LECTURE","TORONTO","ON",13333,0
2019,"STRATEGIC CHARITABLE GIVING FOUNDATION","TORONTO","ON",12118,0
2019,"BARBARA TOSCZAK FOUNDATION","VANCOUVER","BC",5000,0
2019,"Canadian Online Giving Foundation/Fondation canadienne de dons en ligne","CALGARY","AB",1500,0
2019,"REGINA ROTARY CLUB COMMUNITY FUND INC.","REGINA","SK",1200,0
2019,"RBC FOUNDATION/RBC FONDATION","TORONTO","ON",1000,0
2019,"THE MYRON AND CATHERINE TETREAULT FOUNDATION","CALGARY","AB",500,0
2019,"THE SOUTH SASKATCHEWAN COMMUNITY FOUNDATION INC.","REGINA","SK",400,0
2018,"UNITED WAY OF REGINA","REGINA","SK",41310,0
2018,"Club des petits déjeuners du Canada - Breakfast Club of Canada","BOUCHERVILLE","QC",27000,0
2018,"STRATEGIC CHARITABLE GIVING FOUNDATION","TORONTO","ON",25465,0
2018,"INDIGO LOVE OF READING FOUNDATION/FONDATION INDIGO POUR L'AMOUR DE LA LECTURE","TORONTO","ON",23993,0
2018,"MUSIC EDUCATION CHARITY OF CANADA","TORONTO","ON",10000,10000
2018,"MUSIC EDUCATION CHARITY OF CANADA","TORONTO","ON",5000,5000
2018,"Canadian Online Giving Foundation/Fondation canadienne de dons en ligne","CALGARY","AB",2365,0
2018,"REGINA ROTARY CLUB COMMUNITY FUND INC.","REGINA","SK",1200,0
2018,"RBC FOUNDATION/RBC FONDATION","TORONTO","ON",1000,0
2018,"THE MYRON AND CATHERINE TETREAULT FOUNDATION","CALGARY","AB",500,0
2018,"CANADAHELPS CANADON","TORONTO","ON",24,0
2017,"Club des petits déjeuners du Canada - Breakfast Club of Canada","BOUCHERVILLE","QC",55000,0
2017,"STRATEGIC CHARITABLE GIVING FOUNDATION","TORONTO","ON",22664,0
2017,"INDIGO LOVE OF READING FOUNDATION/FONDATION INDIGO POUR L'AMOUR DE LA LECTURE","TORONTO","ON",17333,0
2017,"INDIGO LOVE OF READING FOUNDATION/FONDATION INDIGO POUR L'AMOUR DE LA LECTURE","TORONTO","ON",13333,0
2017,"BARBARA TOSCZAK FOUNDATION","VANCOUVER","BC",9500,0
2017,"TD FRIENDS OF THE ENVIRONMENT FOUNDATION","TORONTO","ON",7650,0
2017,"Canadian Online Giving Foundation/Fondation canadienne de dons en ligne","CALGARY","AB",6202,0
2017,"RBC FOUNDATION/RBC FONDATION","TORONTO","ON",1000,0
2017,"THE MYRON AND CATHERINE TETREAULT FOUNDATION","CALGARY","AB",500,0
2016,"Club des petits déjeuners du Canada - Breakfast Club of Canada","BOUCHERVILLE","QC",20000,0
2016,"STRATEGIC CHARITABLE GIVING FOUNDATION","TORONTO","ON",18121,0
2016,"BARBARA TOSCZAK FOUNDATION","VANCOUVER","BC",7500,0
2016,"MARIAN CENTRE INC","REGINA","SK",5000,0
2016,"Canadian Online Giving Foundation/Fondation canadienne de dons en ligne","CALGARY","AB",2900,0
2016,"RBC FOUNDATION/RBC FONDATION","TORONTO","ON",500,0
2016,"THE MYRON AND CATHERINE TETREAULT FOUNDATION","CALGARY","AB",500,0
2015,"STRATEGIC CHARITABLE GIVING FOUNDATION","TORONTO","ON",17837,0
2015,"MARIAN CENTRE INC","REGINA","SK",5000,0
2015,"THE MYRON AND CATHERINE TETREAULT FOUNDATION","CALGARY","AB",500,0
