BOARD OF EDUCATION OF THE REGINA SCHOOL DIVISION NO. 4 OF SASKATCHEWAN (118812767RR0001)
"Revenue","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"4500: Total eligible amount of all gifts for which the charity issued tax receipts ($)",80215,187426,57073,35011,44326,38589,22262,136430,23770,29202,56078,63374,68082,93433,38344,136255,114862,97608,0,0,0,59112
"5610: Total eligible amount of tax-receipted tuition fees ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4505: Total amount of 10 year gifts received ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4510: Total amount received from other registered charities ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4530: Total other gifts received for which a tax receipt was not issued by the charity (excluding amounts at lines 4575 and 4630) ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4540: Total revenue received from federal government ($)",33227,4575,58948,37676,0,0,583582,1874447,1323113,1531474,1895749,1684920,1777406,1613934,1656582,1775684,1630718,65691,0,0,0,0
"4550: Total revenue received from provincial / territorial governments ($)",287108309,264126091,260328868,266841587,241158774,236643316,195434554,189664015,221343549,156807027,142893028,138893454,142322936,124614273,107660426,110584172,100112564,74570267,41780866,68110107,63115295,57237984
"4560: Total revenue received from municipal / regional governments ($)",0,0,13443,11553,0,29632,30215620,87307199,81142814,81348271,79337198,73357494,71520350,71190670,73069925,0,74888056,77469963,50474582,67898739,74074168,75662573
"4571: Total tax-receipted revenue from all sources outside of Canada (government and non-government) ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4575: Total non tax-receipted revenue from all sources outside Canada (government and non-government) ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4576: Enter the amount from line 4580 that represents the total interest and other income the charity received or earned from impact investments ($)",0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4577: Enter the total amount from Line 4580 that represents the total amount of interest and investment income received from persons who do not deal at arm’s length with the charity ($)",0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"4580: Total interest and investment income received or earned ($)",2109788,2145307,863688,664516,1131111,1341161,977090,599514,604419,754021,828661,837379,919206,0,278656,728402,2050517,1344434,443134,780810,719144,926633
"4590: Gross proceeds from disposition of assets ($)",0,0,0,0,0,212000,177026,187021,0,0,0,2592609,807587,523303,200000,0,0,0,0,0,0,0
"4600: Net proceeds from disposition of assets ($)",20000,0,0,67389,657390,118558,0,21747,0,0,0,1182378,-59821,-58145,-58661,0,0,0,0,0,0,632601
"4610: Gross income received from rental of land and/or buildings ($)",0,0,0,0,0,0,53118,0,0,0,0,0,0,0,637325,1074309,495404,1284660,328089,431137,401438,407637
"4620: Total non tax-receipted revenues received for memberships, dues and association fees ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4630: Total non tax-receipted revenue from fundraising ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4640: Total revenue from sale of goods and services (except to any level of government in Canada) ($)",3277254,3267688,2754855,2138587,3093749,3905132,3600497,4966132,5098319,7496366,7706402,4486825,4336894,4295696,5296496,6846063,0,0,0,0,0,0
"4650: Other revenue not already included in the amounts above ($)",3125499,4568792,2415847,1642620,2174747,2708499,3222538,1263224,1233673,596934,1974125,1870632,2183545,2878875,1079040,72738692,6792937,10684222,5712457,13398470,3356046,2862554
"4655: Specify type(s) of revenue included in the amount reported at 4650","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","contributions and other misc revenue","contributions and other miscellaneous revenue","n/a","n/a","tumon & misc.","n/a","n/a","property tax revenue","n/a","n/a","n/a","n/a","n/a","n/a"
"4700: Total revenue ($)",295754292,274299879,266492722,271438939,248260097,244784887,234109261,285832708,310769657,248563295,234691241,222376456,223068598,204628736,189658133,193883577,186085058,165516845,98739128,150619263,141666091,137789094
