"date","Saskatchewan Consumer Price Index, annual average"
2024,162.3
2023,160.0
2022,153.9
2021,144.4
2020,140.7
2019,139.9
2018,137.5
2017,134.4
2016,132.2
2015,130.8
2014,128.7
2013,125.7
2012,123.9
2011,122.0
2010,118.7
2009,117.1
2008,115.9
2007,112.2
2006,109.1
2005,106.9
2004,104.6
2003,102.3
2002,100.0
2001,97.2
2000,94.4
1999,92.0
1998,90.4
1997,89.2
1996,88.1
1995,86.4
1994,84.8
1993,83.3
1992,80.8
1991,80.0
1990,76.0
1989,72.9
1988,69.8
1987,66.8
1986,63.7
1985,62.0
1984,59.8
1983,57.4
1982,54.0
1981,49.5
1980,44.3
