"date","Saskatchewan Consumer Price Index"
"May 2025",165.4
"April 2025",165.0
"March 2025",165.2
"February 2025",165.2
"January 2025",163.5
"December 2024",162.8
"November 2024",163.2
"October 2024",163.1
"September 2024",162.3
"August 2024",163.4
"July 2024",163.6
"June 2024",162.8
"May 2024",162.8
"April 2024",162.0
"March 2024",161.2
"February 2024",160.3
"January 2024",159.7
"December 2023",159.9
"November 2023",160.6
"October 2023",160.6
"September 2023",161.2
"August 2023",161.6
"July 2023",161.1
"June 2023",160.5
"May 2023",160.4
"April 2023",160.4
"March 2023",158.8
"February 2023",157.6
"January 2023",156.7
"December 2022",155.7
"November 2022",157.0
"October 2022",157.8
"September 2022",155.7
"August 2022",154.8
"July 2022",156.4
"June 2022",155.4
"May 2022",153.8
"April 2022",152.4
"March 2022",151.4
"February 2022",149.1
"January 2022",147.8
"December 2021",145.9
"November 2021",146.8
"October 2021",146.1
"September 2021",145.4
"August 2021",144.9
"July 2021",144.7
"June 2021",143.8
"May 2021",143.7
"April 2021",143.9
"March 2021",143.3
"February 2021",142.4
"January 2021",141.9
"December 2020",140.9
"November 2020",141.6
"October 2020",141.6
"September 2020",140.8
"August 2020",140.8
"July 2020",141.4
"June 2020",141.2
"May 2020",139.9
"April 2020",138.7
"March 2020",140.0
"February 2020",141.2
"January 2020",140.6
"December 2019",139.6
"November 2019",140.5
"October 2019",140.9
"September 2019",139.7
"August 2019",140.2
"July 2019",140.7
"June 2019",140.2
"May 2019",140.8
"April 2019",140.6
"March 2019",139.2
"February 2019",138.5
"January 2019",137.4
"December 2018",137.4
"November 2018",137.9
"October 2018",138.7
"September 2018",137.3
"August 2018",137.6
"July 2018",138.0
"June 2018",137.5
"May 2018",137.9
"April 2018",137.5
"March 2018",136.8
"February 2018",136.7
"January 2018",136.4
"December 2017",135.9
"November 2017",136.6
"October 2017",135.4
"September 2017",134.9
"August 2017",134.7
"July 2017",133.9
"June 2017",133.9
"May 2017",133.9
"April 2017",134.2
"March 2017",133.0
"February 2017",132.9
"January 2017",133.1
"December 2016",131.4
"November 2016",131.7
"October 2016",132.7
"September 2016",132.4
