"date",""Saskatchewan Consumer Price Index %"
"May 2025",1.6
"April 2025",1.9
"March 2025",2.5
"February 2025",3.1
"January 2025",2.4
"December 2024",1.8
"November 2024",1.6
"October 2024",1.6
"September 2024",0.7
"August 2024",1.1
"July 2024",1.6
"June 2024",1.4
"May 2024",1.5
"April 2024",1.0
"March 2024",1.5
"February 2024",1.7
"January 2024",1.9
"December 2023",2.7
"November 2023",2.3
"October 2023",1.8
"September 2023",3.5
"August 2023",4.4
"July 2023",3.0
"June 2023",3.3
"May 2023",4.3
"April 2023",5.2
"March 2023",4.9
"February 2023",5.7
"January 2023",6.0
"December 2022",6.7
"November 2022",6.9
"October 2022",8.0
"September 2022",7.1
"August 2022",6.8
"July 2022",8.1
"June 2022",8.1
"May 2022",7.0
"April 2022",5.9
"March 2022",5.7
"February 2022",4.7
"January 2022",4.2
"December 2021",3.5
"November 2021",3.7
"October 2021",3.2
"September 2021",3.3
"August 2021",2.9
"July 2021",2.3
"June 2021",1.8
"May 2021",2.7
"April 2021",3.7
"March 2021",2.4
"February 2021",0.8
"January 2021",0.9
"December 2020",0.9
"November 2020",0.8
"October 2020",0.5
"September 2020",0.8
"August 2020",0.4
"July 2020",0.5
"June 2020",0.7
"May 2020",-0.6
"April 2020",-1.4
"March 2020",0.6
"February 2020",1.9
"January 2020",2.3
"December 2019",1.6
"November 2019",1.9
"October 2019",1.6
"September 2019",1.7
"August 2019",1.9
"July 2019",2.0
"June 2019",2.0
"May 2019",2.1
"April 2019",2.3
"March 2019",1.8
"February 2019",1.3
"January 2019",0.7
"December 2018",1.1
"November 2018",1.0
"October 2018",2.4
"September 2018",1.8
"August 2018",2.2
"July 2018",3.1
"June 2018",2.7
"May 2018",3.0
"April 2018",2.5
"March 2018",2.9
"February 2018",2.9
"January 2018",2.5
"December 2017",3.4
"November 2017",3.7
"October 2017",2.0
"September 2017",1.9
"August 2017",1.7
"July 2017",0.8
"June 2017",0.5
"May 2017",0.9
"April 2017",1.4
"March 2017",0.6
"February 2017",1.4
"January 2017",1.6
"December 2016",0.6
"November 2016",0.0
"October 2016",0.8
"September 2016",1.1
"August 2016",0.7
"July 2016",1.1
"June 2016",1.4
"May 2016",1.2
"April 2016",1.4
"March 2016",1.3
"February 2016",1.4
"January 2016",2.2
"December 2015",1.8
"November 2015",2.1
"October 2015",1.4
"September 2015",1.4
"August 2015",1.9
"July 2015",1.9
"June 2015",1.9
"May 2015",1.5
"April 2015",1.2
"March 2015",1.4
"February 2015",1.2
"January 2015",1.4
"December 2014",1.7
"November 2014",2.1
"October 2014",2.5
"September 2014",2.2
"August 2014",2.7
"July 2014",2.5
"June 2014",2.2
"May 2014",2.5
"April 2014",2.8
"March 2014",2.8
"February 2014",2.3
"January 2014",2.3
"December 2013",2.3
"November 2013",1.4
"October 2013",1.5
"September 2013",1.5
"August 2013",1.2
"July 2013",1.6
"June 2013",1.7
"May 2013",1.2
"April 2013",1.0
"March 2013",1.3
"February 2013",1.8
"January 2013",0.5
"December 2012",0.7
"November 2012",0.9
"October 2012",1.5
"September 2012",1.2
"August 2012",1.7
"July 2012",1.7
"June 2012",2.0
"May 2012",1.5
"April 2012",2.1
"March 2012",1.8
"February 2012",2.0
"January 2012",2.3
"December 2011",2.5
"November 2011",2.9
"October 2011",2.8
"September 2011",3.4
"August 2011",2.8
"July 2011",2.8
"June 2011",2.6
"May 2011",3.4
"April 2011",2.6
"March 2011",3.0
"February 2011",2.2
"January 2011",2.2
"December 2010",2.0
"November 2010",2.0
"October 2010",2.1
"September 2010",1.2
"August 2010",0.8
"July 2010",0.4
"June 2010",0.3
"May 2010",1.4
"April 2010",2.1
"March 2010",1.1
"February 2010",1.0
"January 2010",1.6
