School Division,2004-5,2005-6,2006-7,2007-8,2008-9,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,
Chinook SD 211,6329,6233,6227,6142,6122,5992,6136,6020,6040,5931,5938,5835,5939,5905,5863,5859,5836,5814,5846,5871,6071,
Christ the Teacher RCSSD 212,1775,1785,1772,1742,1706,1658,1669,1648,1669,1681,1666,1703,1677,1725,1758,1767,1682,1680,1738,1753,1819,
Conseil des écoles fransaskoises 310,1095,1113,1112,1162,1226,1295,1296,1314,1460,1556,1649,1603,1646,1672,1769,1727,1774,1785,1879,2027,2120,
Creighton SD 111,394,459,463,464,467,480,481,459,448,443,430,438,421,415,424,427,407,407,440,435,438,
Englefeld Protestant Separate SD 132,107,101,105,106,99,99,99,89,90,97,103,101,102,89,,,,,,,,
Good Spirit SD 204,6083,5891,5812,5806,5812,5851,5973,5977,6021,6139,6146,6117,6104,6105,6079,6015,5998,5988,6062,6138,6211,
Holy Family RCSSD 140,981,984,1005,1005,992,1051,1051,1035,1061,1132,1218,1261,1281,1272,1322,1344,1292,1268,1267,1297,1352,
Holy Trinity RCSSD 22,2097,2040,2033,1979,2017,2039,2048,2117,2067,2023,2030,2059,2098,2161,2244,2324,2236,2203,2278,2346,2393,
Horizon SD 205,6992,6779,6668,6559,6464,6415,6480,6341,6257,6197,6291,6324,6258,6336,6334,6215,6188,6227,6324,6361,6509,
Ile a la Crosse SD 112,469,446,430,400,418,373,386,390,389,389,384,379,378,362,364,345,355,358,342,341,333,
Light of Christ RCSSD 16,1974,2012,2007,1983,1968,1968,1972,1985,2015,1930,1933,1955,1959,1990,1932,1940,1844,1806,1785,1851,1914,
Living Sky SD 202,5578,5379,5547,5471,5530,5348,5482,5492,5482,5590,5554,5543,5503,5435,5263,5196,5108,5196,5306,5299,5262,
Lloydminster RCSSD 89,579,556,579,596,579,659,1896,1943,2108,2270,2468,2589,2827,2812,2834,2850,2857,2795,2888,2986,3086,
Lloydminster SD 99,1273,1266,1273,1318,1443,1575,3887,3794,3853,3945,3986,4063,4070,4146,4243,4222,4100,4158,4278,4229,4138,
North East SD 200,5581,5366,5277,5220,5146,5043,5134,4973,4919,4875,4874,4807,4890,4800,4791,4736,4622,4676,4744,4792,4717,
Northern Lights SD 113,4259,4239,4227,4148,4168,4052,4104,4187,4075,4129,4182,4206,4210,4124,4063,4056,3871,3839,3910,3742,3766,
Northwest SD 203,4910,4891,4869,4849,4752,4689,4735,4739,4678,4615,4718,4716,4727,4658,4631,4530,4417,4358,4342,4367,4396,
Prairie South SD 210,7737,7300,7025,6860,6682,6580,6682,6498,6522,6526,6597,6619,6777,6861,6867,6858,6881,7036,7098,7239,7411,
Prairie Spirit SD 206,8787,8815,8824,9079,9297,9239,9518,9638,9883,10139,10395,10759,10940,11019,11123,11312,11320,11586,11778,11876,11378,
Prairie Valley SD 208,8292,8036,8080,7982,7894,7803,7934,7901,8099,8039,8090,8159,8303,8401,8303,8442,8388,8623,8756,8858,8918,
Prince Albert RCSSD 6,3121,2960,2997,2989,2993,2918,2930,2910,2957,3054,2955,3065,3022,3016,3015,3087,2912,2808,2824,2912,3017,
Regina RCSSD 81,10026,9770,9494,9294,9317,9427,9546,9683,9946,10120,10562,10839,11118,11449,11648,11683,11611,11680,12024,12974,13718,
Regina SD 4,20678,20294,20056,19487,19516,19525,19781,19881,20140,20665,21160,21691,22376,22917,23332,24005,23840,24013,24632,25499,26307,
Saskatchewan Rivers SD 119,9200,9005,8928,8856,8694,8580,8717,8543,8403,8297,8446,8564,8655,8704,8554,8547,8345,8622,8480,8254,8401,
Saskatoon SD 13,20306,20023,19591,19350,19861,20062,20453,20794,21550,22167,22819,23370,24250,24804,25101,25736,25213,25671,26535,27609,28235,
South East Cornerstone SD 209,7975,7841,7750,7756,7793,7861,8016,8023,8145,8130,8043,8052,8076,8120,8162,8221,8147,8136,8145,8156,8071,
St. Augustine RCSSD 220,,,,52,46,0,,,,,,,,,,,,,,,,
St. Paul's RCSSD 20,15293,14962,14462,14231,14337,14432,14617,15097,15670,15959,16193,16462,16964,17618,18666,19389,19276,19348,20237,21687,22607,
Sun West SD 207,4990,4765,4648,4571,4479,4451,4518,4422,4495,4544,4718,5022,5136,5346,5319,5553,5952,6003,5986,4651,4753,
