Category,Budget 2000-01,Budget 2001-02,Budget 2002-03,Budget 2003-04,Budget 2004-05,Budget 2005-06,Budget 2006-07,Budget 2007-08,Budget 2008-09,Budget 2009-10,Budget 2010-11,Budget 2011-12,Budget 2012-13,Budget 2013-14,Budget 2014-15,Budget 2015-16,Budget 2016-17,Budget 2017-18,Budget 2018-19,Budget 2019-20,Budget 2020-21,Budget 2021-22,Budget 2022-23,Budget 2023-24,Budget 2024-25,Budget 2025-26
Agriculture,248.7,337.1,291.7,251.9,264.3,264.4,264.9,301.1,302.8,483.4,385.8,417.9,430.8,406.9,681.2,721.6,780.3,800.5,770.9,841.5,798.8,879.3,1040.1,1449.8,1531.5,1597.6
Community development,,,602.8,607.1,602.8,637.5,602.4,625.2,,,,,,,531.9,580.6,700.6,642.6,681.2,762.8,690.4,729.9,866.0,904.8,858.4
Economic development,,67.9,,,,,59.9,,,,,,,,,288.6,250.2,246.0,230.2,227.3,389.8,527.0,327.7,367.4,329.7,351.9
Education,478.0,521.5,969.2,1060.9,1097.1,1171.5,767.5,809.2,992.2,1206.1,1135.6,1233.8,1351.2,1381.5,3675.0,3661.0,3688.4,3643.3,3263.3,3282.5,3361.9,3753.2,3800.4,4035.7,4414.5,4428.1
Environment and natural resources,116.9,130.0,130.9,139.1,161.7,172.0,179.7,193.3,186.2,200.4,174.3,180.5,178.5,163.3,232.5,242.1,237.0,247.9,251.7,263.9,362.4,414.9,371.9,254.4,373.6,448.6
Financing charges,,640.5,633.0,650.0,614.0,588.0,551.0,560.0,535.0,502.5,435.0,420.0,400.0,340.0,546.3,305.1,297.2,380.9,654.6,694.4,718.2,755.0,812.0,812.2,911.5,1058.5
General government,,,,,,,,,,,,,,,568.2,586.9,585.4,439.7,445.8,421.9,524.6,544.6,540.1,581.4,642.2
Health,1977.7,2207.2,2335.0,2526.9,2687.4,2892.8,3178.6,3446.1,3745.3,4075.2,4202.1,4462.6,4680.2,4841.7,5355.9,5507.0,5588.1,5627.4,5765.3,5888.2,6176.3,6535.3,6823.5,7056.3,7639.8,8004.9
Protection of persons and property,220.4,235.4,184.2,191.2,199.9,211.9,129.6,142.6,291.9,324.0,336.2,367.5,374.7,541.975,593.7,625.7,640.3,643.7,689.9,701.1,806.5,845.1,936.2,968.5,1004.9,1094.8
Social services and assistance,575.3,588.5,614.3,631.9,,,,,631.4,722.8,753.7,814.2,852.7,889.6,1172.4,1209.9,1243.9,1356.7,1381.3,1432.7,1490.3,1556.7,1623.9,1665.2,1764.9,1842.2
Transportation,250.0,311.7,300.3,246.1,252.3,260.4,288.9,334.8,372.1,437.0,402.9,380.3,425.9,423.3,539.3,544.1,565.2,567.4,519.3,532.1,585.8,607.7,610.3,644.6,678.3,716.7
Boards of Education,,,,,,,,,,,,,,,,,,,,,136.9,122.5,116.0,106.1,94.0
