0,REGINA CHRISTIAN SCHOOL ASSOCIATION (107881872RR0001) Assets,2024,2023,2022.0,2021.0,2020.0,2019.0,2018.0,2017.0,2016.0,2015.0,2014.0,2013.0,2012.0,2011.0,2010.0,2009.0,2008.0,2007.0,2006.0,2005.0,2004.0,2003.0
1,"4100: Cash, bank accounts, and short-term investments ($)",2018756,1805658,1825113.0,1828167.0,1460641.0,1769767.0,1691532.0,1244460.0,1016852.0,852169.0,516840.0,317335.0,223207.0,340380.0,211324.0,190647.0,260457.0,235948.0,57291.0,197601.0,158581.0,151392.0
2,4101: Enter the total amounts in cash and bank accounts included on line 4100 ($),818756,0,,,,,,,,,,,,,,,,,,,,
3,4102: Enter the value of all short-term investments included on line 4100 with an original term to maturity not greater than one year ($),1200000,0,,,,,,,,,,,,,,,,,,,,
4,4110: Amounts receivable from non-arm's length persons ($),262668,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219566.0,0.0,0.0,0.0
5,4120: Amounts receivable from all others ($),0,147323,118433.0,179929.0,209324.0,61503.0,115556.0,150770.0,172901.0,221829.0,293984.0,424737.0,407454.0,182177.0,170850.0,152534.0,201997.0,159166.0,11564.0,193674.0,155211.0,95101.0
6,4130: Investments in non-arm's length persons ($),0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,4140: Long-term investments ($),0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,4150: Inventories ($),0,0,0.0,0.0,0.0,3300.0,10450.0,6250.0,10645.0,12240.0,20165.0,17630.0,8370.0,17000.0,18005.0,16493.0,29600.0,10540.0,12440.0,21875.0,0.0,0.0
9,4155: Land and buildings in Canada ($),6214418,2446762,2420561.0,2344474.0,1838580.0,1667610.0,1511702.0,1398629.0,1225348.0,1207622.0,1141387.0,1139273.0,1139273.0,1139273.0,1139273.0,980380.0,0.0,0.0,0.0,0.0,0.0,0.0
10,4157: Enter the cost or fair market value of all land and buildings in Canada used for the charity's charitable programs or administration that were included in line 4155 ($),6214418,0,,,,,,,,,,,,,,,,,,,,
11,4158: Enter the cost or fair market value of all land and buildings in Canada not used for the charity's charitable programs or administration that were included in line 4155 ($),0,0,,,,,,,,,,,,,,,,,,,,
12,4160: Other capital assets in Canada ($),1975990,1873911,1721226.0,1453665.0,1328212.0,1192552.0,1108213.0,1075695.0,934153.0,833518.0,-286076.0,599597.0,481336.0,479819.0,464814.0,161992.0,1164483.0,981326.0,942002.0,850195.0,866466.0,20955.0
13,4165: Capital assets outside Canada ($),0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,729574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,4166: Accumulated amortization of capital assets ($),-2328702,-2104355,-1918239.0,-1752025.0,-1582977.0,-1440015.0,-1319227.0,-1189797.0,-1047259.0,-923666.0,-519478.0,-721374.0,-639917.0,-587284.0,-512867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,4170: Other assets ($),213360,336737,157580.0,117297.0,96101.0,56817.0,55497.0,35772.0,26981.0,34763.0,13713.0,8496.0,271.0,278.0,10166.0,20087.0,11450.0,27390.0,400.0,4445.0,1038.0,157795.0
16,4190: Enter the value of all impact investments including those reported in any other line ($),0,0,,,,,,,,,,,,,,,,,,,,
17,4200: Total assets ($),8356490,4506036,4324674.0,4171507.0,3349881.0,3311534.0,3173723.0,2721779.0,2339621.0,2238475.0,1910109.0,1785694.0,1619994.0,1571643.0,1501565.0,1522133.0,1667987.0,1414370.0,1243263.0,1267790.0,1181296.0,425243.0
