0,REGINA CHRISTIAN SCHOOL ASSOCIATION (107881872RR0001) Reporting Period,Donor Name,City,Prov,Reported Amount ($),Gifts In Kind ($)
1,2024,CANADAHELPS CANADON,TORONTO,ON,47726,0
2,2024,CANADAHELPS CANADON,TORONTO,ON,47726,0
3,2024,HILLSDALE BAPTIST CHURCH,REGINA,SK,1000,0
4,2024,PARLIAMENT COMMUNITY CHURCH,REGINA,SK,100,0
5,2023,CANADAHELPS CANADON,TORONTO,ON,33115,0
6,2023,ATCO ELECTRIC EPIC,EDMONTON,AB,3900,0
7,2022,THE JOHN & ELLIE VOORTMAN CHARITABLE FOUNDATION,ANCASTER,ON,20000,0
8,2022,THE TABITHA CHARITABLE TRUST,SCARBOROUGH,ON,5000,0
9,2022,C&J EKONG CHARITABLE FOUNDATION INC.,REGINA,SK,4800,0
10,2022,Canadian Online Giving Foundation/Fondation canadienne de dons en ligne,CALGARY,AB,1396,0
11,2022,CANADAHELPS CANADON,TORONTO,ON,721,0
12,2022,UNITED WAY OF REGINA,REGINA,SK,600,0
13,2021,CANADAHELPS CANADON,TORONTO,ON,673,0
14,2021,UNITED WAY OF REGINA,REGINA,SK,600,0
15,2021,SONLIGHT CHRISTIAN REFORMED CHURCH INC.,REGINA,SK,168,0
16,2020,CANADAHELPS CANADON,TORONTO,ON,19676,0
17,2020,UNITED WAY OF REGINA,REGINA,SK,1480,0
18,2020,R.C.C.G. Amazing Grace Parish Incorporated,REGINA,SK,1000,0
19,2020,REGINA VICTORY CHURCH INC.,REGINA,SK,200,0
20,2019,CANADAHELPS CANADON,TORONTO,ON,21243,0
21,2019,FAITH BAPTIST CHURCH,REGINA,SK,1500,0
22,2019,BETHANY GOSPEL CHAPEL OF REGINA,REGINA,SK,500,0
23,2019,PARLIAMENT COMMUNITY CHURCH,REGINA,SK,150,0
24,2019,UNITED WAY OF REGINA,REGINA,SK,39,0
25,2019,Canadian Online Giving Foundation/Fondation canadienne de dons en ligne,CALGARY,AB,30,0
26,2018,Canada Post Community Foundation/Fondation Communautaire de Postes Canada,OTTAWA,ON,1670,0
27,2018,FAITH BAPTIST CHURCH,REGINA,SK,800,0
28,2018,SONLIGHT CHRISTIAN REFORMED CHURCH INC.,REGINA,SK,243,0
29,2018,UNITED WAY OF REGINA,REGINA,SK,39,0
30,2018,CANADAHELPS CANADON,TORONTO,ON,4,0
31,2017,UNITED WAY OF REGINA,REGINA,SK,1859,0
32,2017,FAITH BAPTIST CHURCH,REGINA,SK,1200,0
33,2017,Canadian Online Giving Foundation/Fondation canadienne de dons en ligne,CALGARY,AB,1000,0
34,2017,SONLIGHT CHRISTIAN REFORMED CHURCH INC.,REGINA,SK,341,0
35,2017,WAY OF LIFE CHRISTIAN CHURCH INC.,PILOT BUTTE,SK,240,0
36,2016,"United Way Prescott-Russell, Ottawa, Lanark and Renfrew Counties",OTTAWA,ON,600,0
37,2016,SONLIGHT CHRISTIAN REFORMED CHURCH INC.,REGINA,SK,271,0
38,2016,FAITH BAPTIST CHURCH,REGINA,SK,250,0
39,2016,TRADEBANK FOUNDATION OF CANADA,STONEY CREEK,ON,132,132
40,2016,UNITED WAY OF REGINA,REGINA,SK,75,0
41,2015,TRADEBANK FOUNDATION OF CANADA,STONEY CREEK,ON,1000,1000
42,2015,UNITED WAY OF REGINA,REGINA,SK,765,0
43,2015,FAITH BAPTIST CHURCH,REGINA,SK,750,0
44,2015,SONLIGHT CHRISTIAN REFORMED CHURCH INC.,REGINA,SK,366,0
